,title,title_count,title_split,new_title,type,match_score,title_level,leftover,token_set,token_set_score,type_1,token_set_title,token_sort,token_sort_score,type_2,token_sort_title,extractOne,extractOne_score,type_3,extractOne_title
90,governance operationalization lead,2,governance operationalization lead,,,,lead,governance operationalization,"(data governance, 80, great)",80.0,,,"(master data governance, 51, great)",51.0,,,"(data governance, 86, great)",86.0,,
91,global head of data governance,2,global head of data governance,data governance,,,global head,,,,,,,,,,,,,
92,global data architecture,2,global data architecture,data architecture,,,global,,,,,,,,,,,,,
93,etl architect,2,etl architect,etl architect,common,100.0,,,,,,,,,,,,,,
94,enterprise data governance lead,2,enterprise data governance lead,enterprise data governance,,,lead,,,,,,,,,,,,,
95,enterprise architecture - information governance,2,enterprise architecture information governance,,,,,,,,,,,,,,,,,
96,ditg / del / domaine acquisition et echanges de donnã©es,2,ditg del domaine acquisition et echanges de donn es,,,,,,,,,,,,,,,,,
97,"director, enterprise architecture",2,director enterprise architecture,,,,director,enterprise architecture,"(data architecture, 83, great)",83.0,,,"(data architecture, 70, great)",70.0,,,"(data architecture, 79, great)",79.0,,
98,"director, customer data strategy",2,director customer data strategy,,,,director,customer data strategy,"(master data manager, 59, common)",59.0,,,"(database administrator, 50, common)",50.0,,,"(data services, 86, great)",86.0,,
99,director of data governance,2,director of data governance,data governance,,,director,,,,,,,,,,,,,
100,director enterprise business intelligence,2,director enterprise business intelligence,business intelligence,,,director,enterprise business intelligence,"(business intelligence, 100, great)",100.0,great,business intelligence,"(business intelligence, 79, great)",79.0,,,"(business intelligence, 90, great)",90.0,great,business intelligence
101,director data management,2,director data management,data management,,,director,,,,,,,,,,,,,
102,director data governance,2,director data governance,data governance,,,director,,,,,,,,,,,,,
103,director clinical informatics,2,director clinical informatics,,,,director,clinical informatics,"(information architect, 63, great)",63.0,,,"(information architect, 63, great)",63.0,,,"(information architect, 60, great)",60.0,,
104,director _ itg ei data services,2,director itg ei data services,data services,,,director,itg ei data services,"(data services, 100, great)",100.0,great,data services,"(data services, 79, great)",79.0,,,"(data services, 90, great)",90.0,great,data services
105,director - data management,2,director data management,data management,,,director,,,,,,,,,,,,,
106,"dir, bi and data management",2,director business intelligence and data management,data management,,,director,business intelligence data management,"(data management, 100, great)",100.0,great,data management,"(business intelligence, 72, great)",72.0,,,"(data management, 90, great)",90.0,great,data management
107,development manager,2,development manager,ignore,,,manager,development,"(application development, 100, common)",100.0,common,application development,"(developer, 80, common)",80.0,,,"(data management, 46, great)",46.0,,
108,deputy cdo for global finance,2,deputy chief data officer for global finance,chief data officer,,,global,deputy chief data officer finance,"(chief data officer, 100, great)",100.0,great,chief data officer,"(chief data officer, 71, great)",71.0,,,"(chief data officer, 90, great)",90.0,great,chief data officer
109,data systems architect,2,data systems architect,,,,,,,,,,,,,,,,,
110,data governance project mgr,2,data governance project manager,data governance,,,project manager,,,,,,,,,,,,,
111,data governance consultant,2,data governance consultant,data governance,,,consultant,,,,,,,,,,,,,
112,"corporate data advocate - information quality group, finance & accounting",2,corporate data advocate information quality group finance accounting,,,,,,,,,,,,,,,,,
113,coo,2,chief operating officer,chief operating officer,common,100.0,,,,,,,,,,,,,,
114,compliance director,2,compliance director,ignore,,,director,compliance,"(chief compliance officer, 100, common)",100.0,common,chief compliance officer,"(chief compliance officer, 59, common)",59.0,,,"(master data governance, 45, great)",45.0,,
115,client partner,2,client partner,,,,,,,,,,,,,,,,,
116,chief enterprise architect,2,chief enterprise architect,,,,,,,,,,,,,,,,,
117,ceo,2,chief executive officer,chief executive officer,common,100.0,,,,,,,,,,,,,,
118,business intelligence manager,2,business intelligence manager,business intelligence,,,manager,,,,,,,,,,,,,
119,bi business manager,2,business intelligence business manager,business intelligence,great,95.0,manager,,"(business intelligence, 100, great)",100.0,great,business intelligence,"(business intelligence, 82, great)",82.0,,,"(business intelligence, 95, great)",95.0,great,business intelligence
120,bi & data mgmt mgr.,2,business intelligence data management manager,data management,,,manager,business intelligence data management,"(data management, 100, great)",100.0,great,data management,"(business intelligence, 72, great)",72.0,,,"(data management, 90, great)",90.0,great,data management
121,assistant general counsel,2,assistant general counsel,,,,assistant,general counsel,"(business intelligence, 50, great)",50.0,,,"(business intelligence, 50, great)",50.0,,,"(business intelligence, 48, great)",48.0,,
122,applications development manager,2,applications development manager,application development,common,98.0,manager,,"(application development, 98, common)",98.0,common,application development,"(application development, 98, common)",98.0,common,application development,"(information management, 52, great)",52.0,,
123,vp/cmio,1,vice president chief medical informatics officer,,,,vice president,chief medical informatics officer,"(chief data officer, 84, great)",84.0,,,"(chief information officer, 79, common)",79.0,,,"(chief data officer, 86, great)",86.0,,
124,"vp, shared services it",1,vice president shared services it,,,,vice president,shared services it,"(data services, 76, great)",76.0,,,"(data services, 65, great)",65.0,,,"(data services, 72, great)",72.0,,
125,"vp, sales & marketing it",1,vice president sales marketing it,,,,vice president,sales marketing it,"(master data manager, 49, common)",49.0,,,"(master data manager, 49, common)",49.0,,,"(chief operating officer, 44, great)",44.0,,
126,"vp, manager instrument reference data",1,vice president manager instrument reference data,,,,vice president manager,instrument reference data,"(enterprise data governance, 59, common)",59.0,,,"(enterprise data governance, 59, common)",59.0,,,"(data services, 86, great)",86.0,,
127,"vp, information technology",1,vice president information technology,information technology,,,vice president,,,,,,,,,,,,,
128,"vp, global finance",1,vice president global finance,ignore,,,vice president global,finance,"(financial systems, 58, common)",58.0,,,"(financial systems, 58, common)",58.0,,,"(master data governance, 64, great)",64.0,,
129,"vp, enterprise information managemnet",1,vice president enterprise information managemnet,enterprise information management,common,97.0,vice president,,"(enterprise information management, 97, common)",97.0,common,enterprise information management,"(enterprise information management, 97, common)",97.0,common,enterprise information management,"(information management, 86, great)",86.0,,
130,"vp, enterprise data management and governance",1,vice president enterprise data management and governance,data management,great,90.0,vice president,,"(data management, 100, great)",100.0,great,data management,"(enterprise data governance, 83, common)",83.0,,,"(data management, 90, great)",90.0,great,data management
131,"vp, dg manager",1,vice president data governance manager,data governance,,,vice president manager,,,,,,,,,,,,,
132,"vp, data strategy wealth management",1,vice president data strategy wealth management,,,,vice president,data strategy wealth management,"(data management, 100, great)",100.0,great,data management,"(data management, 65, great)",65.0,,,"(chief data officer, 86, great)",86.0,,
133,"vp, data strategy investment management",1,vice president data strategy investment management,,,,vice president,data strategy investment management,"(data management, 100, great)",100.0,great,data management,"(data management, 60, great)",60.0,,,"(master data governance, 86, great)",86.0,,
134,"vp, data management",1,vice president data management,data management,,,vice president,,,,,,,,,,,,,
135,"vp, data integrity",1,vice president data integrity,,,,vice president,data integrity,"(data engineering, 67, common)",67.0,,,"(data engineering, 67, common)",67.0,,,"(master data governance, 86, great)",86.0,,
136,"vp, cio",1,vice president chief information officer,chief information officer,,,vice president,,,,,,,,,,,,,
137,"vp, cfo",1,vice president chief financial officer,,,,vice president,chief financial officer,"(chief data officer, 84, great)",84.0,,,"(chief data officer, 78, great)",78.0,,,"(chief data officer, 80, great)",80.0,,
138,"vp, business intelligence & data",1,vice president business intelligence data,business intelligence,great,95.0,vice president,,"(business intelligence, 100, great)",100.0,great,business intelligence,"(business intelligence, 89, great)",89.0,,,"(business intelligence, 95, great)",95.0,great,business intelligence
139,"vp, architecture",1,vice president architecture,ignore,,,vice president,architecture,"(data architecture, 100, great)",100.0,great,data architecture,"(architect, 86, common)",86.0,,,"(data architecture, 95, great)",95.0,great,data architecture
140,vp treasury,1,vice president treasury,ignore,,,vice president,treasury,"(master data, 42, great)",42.0,,,"(master data, 42, great)",42.0,,,"(data services, 45, great)",45.0,,
141,vp technology,1,vice president technology,ignore,,,vice president,technology,"(chief technology officer, 100, common)",100.0,common,chief technology officer,"(information technology, 63, common)",63.0,,,"(information architect, 43, great)",43.0,,
142,vp systems architecture,1,vice president systems architecture,,,,vice president,systems architecture,"(data architecture, 83, great)",83.0,,,"(data architecture, 76, great)",76.0,,,"(data architecture, 79, great)",79.0,,
143,vp strategy and change mgmt,1,vice president strategy and change management,,,,vice president,strategy change management,"(data management, 80, great)",80.0,,,"(assessor quality management, 64, common)",64.0,,,"(data management, 86, great)",86.0,,
144,vp predictive analytics,1,vice president predictive analytics,analytics,,,vice president,predictive analytics,"(analytics, 100, great)",100.0,great,analytics,"(data analytics, 71, common)",71.0,,,"(analytics, 90, great)",90.0,great,analytics
145,vp of risk,1,vice president of risk,ignore,,,vice president,risk,"(chief risk officer, 100, common)",100.0,common,chief risk officer,"(chief risk officer, 36, common)",36.0,,,"(chief operating officer, 45, great)",45.0,,
146,vp of it sourcing / procurement,1,vice president of it sourcing procurement,,,,vice president,it procurement,"(data management, 48, great)",48.0,,,"(data management, 48, great)",48.0,,,"(data management, 48, great)",48.0,,
147,vp of it,1,vice president of it,ignore,,,vice president,it,"(architect, 36, common)",36.0,,,"(architect, 36, common)",36.0,,,"(data architect, 90, great)",90.0,great,data architect
148,vp of finance,1,vice president of finance,ignore,,,vice president,finance,"(financial systems, 58, common)",58.0,,,"(financial systems, 58, common)",58.0,,,"(master data governance, 64, great)",64.0,,
149,vp of data management,1,vice president of data management,data management,,,vice president,,,,,,,,,,,,,
150,vp of data governance and bi,1,vice president of data governance and business intelligence,data governance,,,vice president,data governance business intelligence,"(data governance, 100, great)",100.0,great,data governance,"(business intelligence, 72, great)",72.0,,,"(data governance, 90, great)",90.0,great,data governance
151,vp of data governance,1,vice president of data governance,data governance,,,vice president,,,,,,,,,,,,,
152,vp of bi - business information management,1,vice president of business intelligence business information management,information management,,,vice president,business intelligence business information management,"(information management, 100, great)",100.0,great,information management,"(enterprise information management, 63, common)",63.0,,,"(information management, 90, great)",90.0,great,information management
153,vp of applications @ amerihealth caritas,1,vice president of applications amerihealth caritas,,,,vice president,applications amerihealth caritas,"(data analytics, 48, common)",48.0,,,"(data analytics, 48, common)",48.0,,,"(information architect, 51, great)",51.0,,
154,"vp major programs, coo",1,vice president major programs chief operating officer,chief operating officer,,,vice president,major programs chief operating officer,"(chief operating officer, 100, great)",100.0,great,chief operating officer,"(chief operating officer, 75, great)",75.0,,,"(chief operating officer, 90, great)",90.0,great,chief operating officer
155,vp life and annuity finance,1,vice president life and annuity finance,,,,vice president,life annuity finance,"(master data governance, 48, great)",48.0,,,"(master data governance, 48, great)",48.0,,,"(chief data officer, 53, great)",53.0,,
156,vp information and data services,1,vice president information and data services,data services,,,vice president,information data services,"(data services, 100, great)",100.0,great,data services,"(data services, 68, great)",68.0,,,"(data services, 90, great)",90.0,great,data services
157,vp holland professional services,1,vice president holland professional services,,,,vice president,holland professional services,"(data services, 76, great)",76.0,,,"(data services, 52, great)",52.0,,,"(data services, 86, great)",86.0,,
158,"vp finance technology, global business operations & legal",1,vice president finance technology global business operations legal,,,,vice president global,finance technology business operations legal,"(operations analyst, 71, common)",71.0,,,"(information technology, 64, common)",64.0,,,"(business intelligence, 86, great)",86.0,,
159,vp enterprise services strategy,1,vice president enterprise services strategy,,,,vice president,enterprise services strategy,"(data services, 76, great)",76.0,,,"(enterprise data governance, 59, common)",59.0,,,"(data services, 86, great)",86.0,,
160,vp enterprise risk management & compliance,1,vice president enterprise risk management compliance,,,,vice president,enterprise risk management compliance,"(data management, 80, great)",80.0,,,"(enterprise information management, 60, common)",60.0,,,"(information management, 86, great)",86.0,,
161,vp enterprise data governance,1,vice president enterprise data governance,enterprise data governance,,,vice president,,,,,,,,,,,,,
162,vp data strategy,1,vice president data strategy,,,,vice president,data strategy,"(master data, 67, great)",67.0,,,"(master data, 67, great)",67.0,,,"(master data governance, 86, great)",86.0,,
163,"vp data governance data architect,us fbo regulation project team",1,vice president data governance data architect us fbo regulation project team,data governance,,,vice president project,data governance data architect us fbo regulation team,"(data governance, 100, great)",100.0,great,data governance,"(master data governance, 51, great)",51.0,,,"(data governance, 90, great)",90.0,great,data governance
164,vp data governance,1,vice president data governance,data governance,,,vice president,,,,,,,,,,,,,
165,vp data delivery & architecture,1,vice president data delivery architecture,,,,vice president,data delivery architecture,"(data architecture, 100, great)",100.0,great,data architecture,"(data architecture, 79, great)",79.0,,,"(data services, 86, great)",86.0,,
166,vp data analytics,1,vice president data analytics,data analytics,,,vice president,,,,,,,,,,,,,
167,vp corporate medical informatics,1,vice president corporate medical informatics,,,,vice president,corporate medical informatics,"(chief information officer, 56, common)",56.0,,,"(chief information officer, 56, common)",56.0,,,"(analytics, 50, great)",50.0,,
168,vp consumer technologoy,1,vice president consumer technologoy,,,,vice president,consumer technologoy,"(chief technology officer, 68, common)",68.0,,,"(chief technology officer, 68, common)",68.0,,,"(master data, 41, great)",41.0,,
169,vp bi,1,vice president business intelligence,business intelligence,,,vice president,,,,,,,,,,,,,
170,vp / cio,1,vice president chief information officer,chief information officer,,,vice president,,,,,,,,,,,,,
171,vp & chief enterprise architect,1,vice president chief enterprise architect,,,,vice president,chief enterprise architect,"(architect, 100, common)",100.0,common,architect,"(etl architect, 62, common)",62.0,,,"(data architect, 86, great)",86.0,,
172,vp - principal technology architect,1,vice president principal technology architect,,,,vice president principal,technology architect,"(architect, 100, common)",100.0,common,architect,"(chief technology officer, 73, common)",73.0,,,"(data architect, 74, great)",74.0,,
173,vp - it - dw arch,1,vice president it data warehouse arch,data warehouse,,,vice president,it data warehouse arch,"(data warehouse, 100, great)",100.0,great,data warehouse,"(data warehouse, 78, great)",78.0,,,"(data warehouse, 90, great)",90.0,great,data warehouse
174,vp - fp&a,1,vice president fp,ignore,,,vice president,fp,"(developer, 18, common)",18.0,,,"(developer, 18, common)",18.0,,,"(chief data officer, 30, great)",30.0,,
175,vp - enterprise data quality,1,vice president enterprise data quality,,,,vice president,enterprise data quality,"(enterprise data governance, 79, common)",79.0,,,"(enterprise data governance, 69, common)",69.0,,,"(data services, 86, great)",86.0,,
176,vp,1,vice president,,,,vice president,,,,,,,,,,,,,
177,"vice president, model validation, process management and model governance system",1,vice president model validation process management and model governance system,,,,vice president,model validation process management model governance system,"(data management, 80, great)",80.0,,,"(assessor quality management, 42, common)",42.0,,,"(master data governance, 86, great)",86.0,,
178,"vice president, information management risk lead",1,vice president information management risk lead,information management,great,100.0,vice president lead,,"(information management, 100, great)",100.0,great,information management,"(information management, 90, great)",90.0,great,information management,"(information management, 95, great)",95.0,great,information management
179,"vice president, human resources",1,vice president human resources,,,,vice president,human resources,"(data services, 50, great)",50.0,,,"(data services, 50, great)",50.0,,,"(data services, 50, great)",50.0,,
180,"vice president, enterprise information management",1,vice president enterprise information management,enterprise information management,,,vice president,,,,,,,,,,,,,
181,"vice president, enterprise data governance",1,vice president enterprise data governance,enterprise data governance,,,vice president,,,,,,,,,,,,,
182,"vice president, data resource management",1,vice president data resource management,,,,vice president,data resource management,"(data management, 100, great)",100.0,great,data management,"(data management, 77, great)",77.0,,,"(data services, 86, great)",86.0,,
183,"vice president, data modeling management",1,vice president data modeling management,,,,vice president,data modeling management,"(data management, 100, great)",100.0,great,data management,"(data management, 77, great)",77.0,,,"(data services, 86, great)",86.0,,
184,"vice president, data governance",1,vice president data governance,data governance,,,vice president,,,,,,,,,,,,,
185,"vice president, compliance",1,vice president compliance,ignore,,,vice president,compliance,"(chief compliance officer, 100, common)",100.0,common,chief compliance officer,"(chief compliance officer, 59, common)",59.0,,,"(master data governance, 45, great)",45.0,,
186,vice president enterprise application & information services,1,vice president enterprise application information services,,,,vice president,enterprise application information services,"(enterprise information management, 80, common)",80.0,,,"(enterprise information management, 66, common)",66.0,,,"(data services, 86, great)",86.0,,
187,vice president big data analytics and strategy,1,vice president big data analytics and strategy,analytics,,,vice president,big data analytics strategy,"(analytics, 100, great)",100.0,great,analytics,"(data analytics, 68, common)",68.0,,,"(analytics, 90, great)",90.0,great,analytics
188,"vice president and global head, data governance",1,vice president and global head data governance,data governance,,,vice president global head,,,,,,,,,,,,,
189,vice president - data projects at barclays,1,vice president data project at barclays,,,,vice president project,data at barclays,"(data analyst, 71, common)",71.0,,,"(data analyst, 71, common)",71.0,,,"(data standards, 60, great)",60.0,,
190,test automation engineer,1,test automation engineer,,,,,,,,,,,,,,,,,
191,"technology, informatica integration",1,technology informatica integration,,,,,,,,,,,,,,,,,
192,technology relationship manager,1,technology relationship manager,,,,manager,technology relationship,"(information technology, 76, common)",76.0,,,"(information technology, 76, common)",76.0,,,"(information architect, 45, great)",45.0,,
193,"technology manager, bi - j&j shared services",1,technology manager business intelligence shared services,business intelligence,,,manager,technology business intelligence shared services,"(business intelligence, 100, great)",100.0,great,business intelligence,"(business intelligence, 61, great)",61.0,,,"(business intelligence, 90, great)",90.0,great,business intelligence
194,technology consultant,1,technology consultant,ignore,,,consultant,technology,"(chief technology officer, 100, common)",100.0,common,chief technology officer,"(information technology, 63, common)",63.0,,,"(information architect, 43, great)",43.0,,
195,technology associate,1,technology associate,ignore,,,associate,technology,"(chief technology officer, 100, common)",100.0,common,chief technology officer,"(information technology, 63, common)",63.0,,,"(information architect, 43, great)",43.0,,
196,technical manager,1,technical manager,ignore,,,manager,technical,"(etl architect, 45, common)",45.0,,,"(etl architect, 45, common)",45.0,,,"(data architect, 43, great)",43.0,,
197,technical director systems architect,1,technical director systems architect,,,,director,technical systems architect,"(architect, 100, common)",100.0,common,architect,"(etl architect, 65, common)",65.0,,,"(data architect, 86, great)",86.0,,
