,title,title_count,title_split,new_title,type,match_score,title_level,leftover,temp,score,temp_2
37,president,3.0,president,,,,president,,,,
39,"managing director, bny mellon  data management and architecture   client technology solutions",3.0,managing director bny mellon data management and architecture client technology solutions,data management,great,90.0,managing director,,,90.0,"(data governance, 33, great)"
40,it manager,3.0,it manager,data architect,great,90.0,manager,,,90.0,"(data governance, 33, great)"
41,"executive director, lead architect",3.0,executive director lead architect,architect,great,100.0,executive director lead,,,100.0,"(data governance, 33, great)"
42,director technical architecture,3.0,director technical architecture,architecture,great,90.0,director,,,90.0,"(data governance, 33, great)"
43,data governance,3.0,data governance,data governance,great,100.0,,,,,
44,"chief information officer, ifc",3.0,chief information officer ifc,,,,officer,chief information ifc,"(chief information officer, 87, great)",87.0,"(chief information officer, 89, great)"
45,,,,,,,,,,,
46,associate general counsel,3.0,associate general counsel,,,,associate,general counsel,"(business intelligence competency center, 48, great)",48.0,"(business intelligence, 50, great)"
47,"vp, enterprise data management",2.0,vice president enterprise data management,data management,great,90.0,vice president,,,90.0,"(data governance, 33, great)"
48,vp global finance technology,2.0,vice president global finance technology,,,,vice president global,finance technology,"(finance change management, 56, great)",56.0,"(information technology, 75, common)"
49,vp data architecture,2.0,vice president data architecture,data architecture,great,100.0,vice president,,,100.0,"(data governance, 33, great)"
50,vp data,2.0,vice president data,market data vendor management,great,90.0,vice president,,,90.0,"(data governance, 33, great)"
51,"vice president, wealth management",2.0,vice president wealth management,,,,vice president,wealth management,"(identity & access management, 86, great)",86.0,"(data management, 81, great)"
52,vice president - architecture,2.0,vice president architecture,architecture,great,100.0,vice president,,,100.0,"(data governance, 33, great)"
53,vice president,2.0,vice president,,,,vice president,,,,
54,,,,,,,,,,,
55,,,,,,,,,,,
56,"svp, enterprise data executive & chief model risk officer",2.0,senior vice president enterprise data executive chief model risk officer,,,,senior vice president executive officer,enterprise data chief model risk,"(chief nursing officer, 86, great)",86.0,"(chief data officer, 71, great)"
57,svp data governance,2.0,senior vice president data governance,data governance,great,100.0,senior vice president,,,100.0,"(data governance, 33, great)"
58,sr. project manager,2.0,senior project manager,,,,senior project manager,,,,
59,sr. operations officer,2.0,senior operations officer,,,,senior officer,operations,"(chief information officer, 63, great)",63.0,"(operations analyst, 100, common)"
60,sr data architect,2.0,senior data architect,data architect,great,100.0,senior,,,100.0,"(data governance, 33, great)"
61,,,,,,,,,,,
62,,,,,,,,,,,
63,senior researcher,2.0,senior researcher,,,,senior,researcher,"(enterprise architect, 63, great)",63.0,"(architecture, 55, great)"
64,senior project lead - data governance workstreams,2.0,senior project lead data governance workstreams,data governance,great,90.0,senior project lead,,,90.0,"(data governance, 33, great)"
65,"senior manager, business intelligence and analytic",2.0,senior manager business intelligence and analytic,business intelligence,great,90.0,senior manager,,,90.0,"(data governance, 33, great)"
66,"senior director, enterprise architecture & innovation",2.0,senior director enterprise architecture innovation,enterprise architect,great,90.0,senior director,,,90.0,"(data governance, 33, great)"
67,senior data analyst,2.0,senior data analyst,data analyst,great,100.0,senior,,,100.0,"(data governance, 33, great)"
68,risk manager,2.0,risk manager,group risk manager,great,90.0,manager,,,90.0,"(data governance, 33, great)"
69,purchasing manager,2.0,purchasing manager,,,,manager,purchasing,"(chief nursing officer, 54, great)",54.0,"(risk reporting, 42, great)"
70,,,,,,,,,,,
71,project manager - special projects,2.0,project manager special project,,,,project manager project,special,"(chief medical informatics officer, 51, great)",51.0,"(clinical applications, 36, great)"
72,project leader,2.0,project leader,,,,project leader,,,,
73,proj manager (consultant â€“ systems evolution),2.0,proj manager consultant systems evolution,,,,manager consultant,proj systems evolution,"(risk reporting, 45, great)",45.0,"(systems analyst, 64, common)"
74,program manager integration & data services,2.0,program manager integration data services,data services,great,90.0,manager,,,90.0,"(data governance, 33, great)"
75,product manager derivserv,2.0,product manager derivserv,,,,manager,product derivserv,"(group risk manager, 51, great)",51.0,"(data protection officer, 50, great)"
76,process improvement senior manager,2.0,process improvement senior manager,,,,senior manager,process improvement,"(business intelligence process, 86, great)",86.0,"(quality improvement, 73, great)"
77,principal information manager,2.0,principal information manager,chief information officer,great,90.0,principal manager,,,90.0,"(data governance, 33, great)"
80,md governance manager,2.0,md governance manager,,,,manager,md governance,"(master data governance, 86, great)",86.0,"(master data governance, 87, great)"
81,managing partner,2.0,managing partner,,,,managing,partner,"(data manager, 53, great)",53.0,"(data manager, 53, great)"
82,"manager, data architecture",2.0,manager data architecture,data architecture,great,100.0,manager,,,100.0,"(data governance, 33, great)"
83,manager finance it architecture & strategy,2.0,manager finance it architecture strategy,architecture,great,90.0,manager,,,90.0,"(data governance, 33, great)"
84,lead architect,2.0,lead architect,architect,great,100.0,lead,,,100.0,"(data governance, 33, great)"
85,it specialist,2.0,it specialist,data architect,great,90.0,specialist,,,90.0,"(data governance, 33, great)"
86,,,,,,,,,,,
87,head of data governance - operations,2.0,head of data governance operations,data governance,great,90.0,head of,,,90.0,"(data governance, 33, great)"
88,head of data governance,2.0,head of data governance,data governance,great,100.0,head of,,,100.0,"(data governance, 33, great)"
89,head of data architecture,2.0,head of data architecture,data architecture,great,100.0,head of,,,100.0,"(data governance, 33, great)"
90,governance operationalization lead,2.0,governance operationalization lead,,,,lead,governance operationalization,"(data governance, 86, great)",86.0,"(data governance, 80, great)"
91,global head of data governance,2.0,global head of data governance,data governance,great,100.0,global head of,,,100.0,"(data governance, 33, great)"
92,global data architecture,2.0,global data architecture,data architecture,great,100.0,global,,,100.0,"(data governance, 33, great)"
93,,,,,,,,,,,
94,enterprise data governance lead,2.0,enterprise data governance lead,data governance,great,90.0,lead,,,90.0,"(data governance, 33, great)"
95,,,,,,,,,,,
96,,,,,,,,,,,
97,"director, enterprise architecture",2.0,director enterprise architecture,enterprise architect,great,93.0,director,,,93.0,"(data governance, 33, great)"
98,"director, customer data strategy",2.0,director customer data strategy,,,,director,customer data strategy,"(data warehouse, 86, great)",86.0,"(customer data management, 74, great)"
99,director of data governance,2.0,director of data governance,data governance,great,100.0,director of,,,100.0,"(data governance, 33, great)"
100,director enterprise business intelligence,2.0,director enterprise business intelligence,business intelligence,great,90.0,director,,,90.0,"(data governance, 33, great)"
101,director data management,2.0,director data management,data management,great,100.0,director,,,100.0,"(data governance, 33, great)"
102,director data governance,2.0,director data governance,data governance,great,100.0,director,,,100.0,"(data governance, 33, great)"
103,director clinical informatics,2.0,director clinical informatics,clinical informatics,great,100.0,director,,,100.0,"(data governance, 33, great)"
104,director _ itg ei data services,2.0,director itg ei data services,data services,great,90.0,director,,,90.0,"(data governance, 33, great)"
105,director - data management,2.0,director data management,data management,great,100.0,director,,,100.0,"(data governance, 33, great)"
106,"dir, bi and data management",2.0,director business intelligence and data management,business intelligence,great,90.0,director,,,90.0,"(data governance, 33, great)"
107,development manager,2.0,development manager,,,,manager,development,"(quality improvement, 50, great)",50.0,"(application development, 100, common)"
108,deputy cdo for global finance,2.0,deputy chief data officer for global finance,,,,officer global,deputy chief data for finance,"(risk data manager, 86, great)",86.0,"(chief data officer, 71, great)"
109,,,,,,,,,,,
110,data governance project mgr,2.0,data governance project manager,data governance,great,100.0,project manager,,,100.0,"(data governance, 33, great)"
111,data governance consultant,2.0,data governance consultant,data governance,great,100.0,consultant,,,100.0,"(data governance, 33, great)"
112,,,,,,,,,,,
113,coo,2.0,chief operating officer,chief operating officer,common,100.0,,,,,
114,compliance director,2.0,compliance director,,,,director,compliance,"(business intelligence competency center, 54, great)",54.0,"(chief compliance officer, 100, common)"
115,,,,,,,,,,,
116,,,,,,,,,,,
117,ceo,2.0,chief executive officer,chief executive officer,common,100.0,,,,,
118,business intelligence manager,2.0,business intelligence manager,business intelligence,great,100.0,manager,,,100.0,"(data governance, 33, great)"
119,bi business manager,2.0,business intelligence business manager,business intelligence competency center,great,95.0,manager,,,95.0,"(data governance, 33, great)"
120,bi & data mgmt mgr.,2.0,business intelligence data management manager,business intelligence,great,90.0,manager,,,90.0,"(data governance, 33, great)"
121,assistant general counsel,2.0,assistant general counsel,,,,assistant,general counsel,"(business intelligence competency center, 48, great)",48.0,"(business intelligence, 50, great)"
122,applications development manager,2.0,applications development manager,,,,manager,applications development,"(clinical applications, 69, great)",69.0,"(application development, 98, common)"
123,vp/cmio,1.0,vice president chief medical informatics officer,chief medical informatics officer,great,95.0,vice president officer,,,95.0,"(data governance, 33, great)"
124,"vp, shared services it",1.0,vice president shared services it,,,,vice president,shared services it,"(data services, 72, great)",72.0,"(data services, 76, great)"
125,"vp, sales & marketing it",1.0,vice president sales marketing it,,,,vice president,sales marketing it,"(sales data, 86, great)",86.0,"(sales data, 67, great)"
126,"vp, manager instrument reference data",1.0,vice president manager instrument reference data,,,,vice president manager,instrument reference data,"(data warehouse, 86, great)",86.0,"(big data, 67, great)"
127,"vp, information technology",1.0,vice president information technology,,,,vice president,information technology,"(informatics, 74, great)",74.0,"(information technology, 100, common)"
128,"vp, global finance",1.0,vice president global finance,finance change management,great,90.0,vice president global,,,90.0,"(data governance, 33, great)"
129,"vp, enterprise information managemnet",1.0,vice president enterprise information managemnet,,,,vice president,enterprise information managemnet,"(enterprise architect, 86, great)",86.0,"(enterprise information management, 97, common)"
130,"vp, enterprise data management and governance",1.0,vice president enterprise data management and governance,data management,great,90.0,vice president,,,90.0,"(data governance, 33, great)"
131,"vp, dg manager",1.0,vice president data governance manager,data governance,great,100.0,vice president manager,,,100.0,"(data governance, 33, great)"
132,"vp, data strategy wealth management",1.0,vice president data strategy wealth management,,,,vice president,data strategy wealth management,"(data quality manager, 86, great)",86.0,"(data management, 100, great)"
133,"vp, data strategy investment management",1.0,vice president data strategy investment management,,,,vice president,data strategy investment management,"(data protection officer, 86, great)",86.0,"(data management, 100, great)"
134,"vp, data management",1.0,vice president data management,data management,great,100.0,vice president,,,100.0,"(data governance, 33, great)"
135,"vp, data integrity",1.0,vice president data integrity,,,,vice president,data integrity,"(market data vendor management, 86, great)",86.0,"(data scientist, 71, great)"
136,"vp, cio",1.0,vice president chief information officer,chief information officer,great,95.0,vice president officer,,,95.0,"(data governance, 33, great)"
137,"vp, cfo",1.0,vice president chief financial officer,chief financial officer,great,90.0,vice president officer,,,90.0,"(data governance, 33, great)"
138,"vp, business intelligence & data",1.0,vice president business intelligence data,business intelligence,great,95.0,vice president,,,95.0,"(data governance, 33, great)"
139,"vp, architecture",1.0,vice president architecture,architecture,great,100.0,vice president,,,100.0,"(data governance, 33, great)"
140,vp treasury,1.0,vice president treasury,,,,vice president,treasury,"(data steward, 45, great)",45.0,"(controller, 44, great)"
141,vp technology,1.0,vice president technology,,,,vice president,technology,"(data protection officer, 45, great)",45.0,"(information technology, 100, common)"
142,vp systems architecture,1.0,vice president systems architecture,architecture,great,90.0,vice president,,,90.0,"(data governance, 33, great)"
143,vp strategy and change mgmt,1.0,vice president strategy and change management,,,,vice president,strategy and change management,"(data management, 86, great)",86.0,"(risk change management, 87, great)"
144,vp predictive analytics,1.0,vice president predictive analytics,analytics,great,90.0,vice president,,,90.0,"(data governance, 33, great)"
145,vp of risk,1.0,vice president of risk,group risk manager,great,90.0,vice president of,,,90.0,"(data governance, 33, great)"
146,vp of it sourcing / procurement,1.0,vice president of it sourcing procurement,,,,vice president of,it sourcing procurement,"(quality improvement, 57, great)",57.0,"(quality improvement, 57, great)"
147,vp of it,1.0,vice president of it,data architect,great,90.0,vice president of,,,90.0,"(data governance, 33, great)"
148,vp of finance,1.0,vice president of finance,finance change management,great,90.0,vice president of,,,90.0,"(data governance, 33, great)"
149,vp of data management,1.0,vice president of data management,data management,great,100.0,vice president of,,,100.0,"(data governance, 33, great)"
150,vp of data governance and bi,1.0,vice president of data governance and business intelligence,business intelligence,great,90.0,vice president of,,,90.0,"(data governance, 33, great)"
151,vp of data governance,1.0,vice president of data governance,data governance,great,100.0,vice president of,,,100.0,"(data governance, 33, great)"
152,vp of bi - business information management,1.0,vice president of business intelligence business information management,information management,great,90.0,vice president of,,,90.0,"(data governance, 33, great)"
153,vp of applications @ amerihealth caritas,1.0,vice president of applications amerihealth caritas,,,,vice president of,applications amerihealth caritas,"(clinical applications, 86, great)",86.0,"(clinical applications, 73, great)"
154,"vp major programs, coo",1.0,vice president major programs chief operating officer,,,,vice president officer,major programs chief operating,"(chief data officer, 86, great)",86.0,"(chief operating officer, 79, common)"
155,vp life and annuity finance,1.0,vice president life and annuity finance,,,,vice president,life and annuity finance,"(finance change management, 58, great)",58.0,"(finance change management, 61, great)"
156,vp information and data services,1.0,vice president information and data services,data services,great,90.0,vice president,,,90.0,"(data governance, 33, great)"
157,vp holland professional services,1.0,vice president holland professional services,,,,vice president,holland professional services,"(data services, 86, great)",86.0,"(data services, 76, great)"
158,"vp finance technology, global business operations & legal",1.0,vice president finance technology global business operations legal,,,,vice president global,finance technology business operations legal,"(finance change management, 86, great)",86.0,"(operations analyst, 71, common)"
159,vp enterprise services strategy,1.0,vice president enterprise services strategy,,,,vice president,enterprise services strategy,"(data services, 86, great)",86.0,"(data services, 76, great)"
160,vp enterprise risk management & compliance,1.0,vice president enterprise risk management compliance,,,,vice president,enterprise risk management compliance,"(group risk manager, 86, great)",86.0,"(risk change management, 81, great)"
161,vp enterprise data governance,1.0,vice president enterprise data governance,data governance,great,90.0,vice president,,,90.0,"(data governance, 33, great)"
162,vp data strategy,1.0,vice president data strategy,,,,vice president,data strategy,"(market data vendor management, 86, great)",86.0,"(sales data, 70, great)"
163,"vp data governance data architect,us fbo regulation project team",1.0,vice president data governance data architect us fbo regulation project team,data architect,great,90.0,vice president project,,,90.0,"(data governance, 33, great)"
164,vp data governance,1.0,vice president data governance,data governance,great,100.0,vice president,,,100.0,"(data governance, 33, great)"
165,vp data delivery & architecture,1.0,vice president data delivery architecture,architecture,great,90.0,vice president,,,90.0,"(data governance, 33, great)"
166,vp data analytics,1.0,vice president data analytics,analytics,great,90.0,vice president,,,90.0,"(data governance, 33, great)"
167,vp corporate medical informatics,1.0,vice president corporate medical informatics,informatics,great,90.0,vice president,,,90.0,"(data governance, 33, great)"
168,vp consumer technologoy,1.0,vice president consumer technologoy,,,,vice president,consumer technologoy,"(customer intelligence, 49, great)",49.0,"(chief technology officer, 68, common)"
169,vp bi,1.0,vice president business intelligence,business intelligence,great,100.0,vice president,,,100.0,"(data governance, 33, great)"
170,vp / cio,1.0,vice president chief information officer,chief information officer,great,95.0,vice president officer,,,95.0,"(data governance, 33, great)"
171,vp & chief enterprise architect,1.0,vice president chief enterprise architect,enterprise architect,great,95.0,vice president,,,95.0,"(data governance, 33, great)"
172,vp - principal technology architect,1.0,vice president principal technology architect,architect,great,90.0,vice president principal,,,90.0,"(data governance, 33, great)"
173,vp - it - dw arch,1.0,vice president it data warehouse arch,data warehouse,great,90.0,vice president,,,90.0,"(data governance, 33, great)"
174,vp - fp&a,1.0,vice president fp,,,,vice president,fp,"(risk reporting, 45, great)",45.0,"(ifrs9, 29, great)"
175,vp - enterprise data quality,1.0,vice president enterprise data quality,data quality,great,90.0,vice president,,,90.0,"(data governance, 33, great)"
176,vp,1.0,vice president,,,,vice president,,,,
177,"vice president, model validation, process management and model governance system",1.0,vice president model validation process management and model governance system,,,,vice president,model validation process management and model governance system,"(identity & access management, 86, great)",86.0,"(data governance, 80, great)"
178,"vice president, information management risk lead",1.0,vice president information management risk lead,information management,great,95.0,vice president lead,,,95.0,"(data governance, 33, great)"
179,"vice president, human resources",1.0,vice president human resources,,,,vice president,human resources,"(data services, 50, great)",50.0,"(data services, 50, great)"
180,"vice president, enterprise information management",1.0,vice president enterprise information management,information management,great,90.0,vice president,,,90.0,"(data governance, 33, great)"
181,"vice president, enterprise data governance",1.0,vice president enterprise data governance,data governance,great,90.0,vice president,,,90.0,"(data governance, 33, great)"
182,"vice president, data resource management",1.0,vice president data resource management,,,,vice president,data resource management,"(data warehouse, 86, great)",86.0,"(data management, 100, great)"
183,"vice president, data modeling management",1.0,vice president data modeling management,,,,vice president,data modeling management,"(data warehouse, 86, great)",86.0,"(data management, 100, great)"
184,"vice president, data governance",1.0,vice president data governance,data governance,great,100.0,vice president,,,100.0,"(data governance, 33, great)"
185,"vice president, compliance",1.0,vice president compliance,,,,vice president,compliance,"(business intelligence competency center, 54, great)",54.0,"(chief compliance officer, 100, common)"
186,vice president enterprise application & information services,1.0,vice president enterprise application information services,,,,vice president,enterprise application information services,"(chief information officer, 86, great)",86.0,"(enterprise information management, 80, common)"
187,vice president big data analytics and strategy,1.0,vice president big data analytics and strategy,big data,great,90.0,vice president,,,90.0,"(data governance, 33, great)"
188,"vice president and global head, data governance",1.0,vice president and global head data governance,data governance,great,95.0,vice president global head,,,95.0,"(data governance, 33, great)"
189,vice president - data projects at barclays,1.0,vice president data project at barclays,,,,vice president project,data at barclays,"(market data vendor management, 86, great)",86.0,"(data analyst, 71, great)"
190,,,,,,,,,,,
191,,,,,,,,,,,
192,technology relationship manager,1.0,technology relationship manager,,,,manager,technology relationship,"(clinical applications, 50, great)",50.0,"(information technology, 76, common)"
193,"technology manager, bi - j&j shared services",1.0,technology manager business intelligence shared services,business intelligence,great,90.0,manager,,,90.0,"(data governance, 33, great)"
194,technology consultant,1.0,technology consultant,,,,consultant,technology,"(data protection officer, 45, great)",45.0,"(information technology, 100, common)"
195,technology associate,1.0,technology associate,,,,associate,technology,"(data protection officer, 45, great)",45.0,"(information technology, 100, common)"
196,technical manager,1.0,technical manager,,,,manager,technical,"(clinical informatics, 60, great)",60.0,"(clinical quality, 48, great)"
197,technical director systems architect,1.0,technical director systems architect,architect,great,90.0,director,,,90.0,"(data governance, 33, great)"
198,team lead bicc,1.0,team lead business intelligence competency center,business intelligence competency center,great,95.0,lead,,,95.0,"(data governance, 33, great)"
199,t senior manager - vendor management - ocio,1.0,senior manager vendor management ocio,,,,senior manager,vendor management ocio,"(market data vendor management, 83, great)",83.0,"(market data vendor management, 87, great)"
200,"svp, risk integration data quality manager",1.0,senior vice president risk integration data quality manager,data quality,great,90.0,senior vice president manager,,,90.0,"(data governance, 33, great)"
201,"svp, cio enterprise application developm",1.0,senior vice president chief information officer enterprise application developm,,,,senior vice president officer,chief information enterprise application developm,"(chief nursing officer, 86, great)",86.0,"(chief information officer, 81, great)"
202,"svp, cio & enterprise transformation leader",1.0,senior vice president chief information officer enterprise transformation leader,,,,senior vice president officer leader,chief information enterprise transformation,"(chief nursing officer, 86, great)",86.0,"(chief information officer, 81, great)"
203,"svp, chief data officer",1.0,senior vice president chief data officer,chief data officer,great,90.0,senior vice president officer,,,90.0,"(data governance, 33, great)"
204,"svp, (it sponsor)",1.0,senior vice president it sponsor,,,,senior vice president,it sponsor,"(descision support, 54, great)",54.0,"(descision support, 52, great)"
205,svp of corporate services,1.0,senior vice president of corporate services,,,,senior vice president of,corporate services,"(data services, 72, great)",72.0,"(data services, 76, great)"
206,svp delivery and customer success,1.0,senior vice president delivery and customer success,,,,senior vice president,delivery and customer success,"(customer intelligence, 61, great)",61.0,"(customer intelligence, 64, great)"
207,svp data management and bi,1.0,senior vice president data management and business intelligence,business intelligence,great,90.0,senior vice president,,,90.0,"(data governance, 33, great)"
208,svp chief op rick officer,1.0,senior vice president chief op rick officer,,,,senior vice president officer,chief op rick,"(chief medical informatics officer, 86, great)",86.0,"(chief risk officer, 71, common)"
209,svp chief consumer credit risk officer,1.0,senior vice president chief consumer credit risk officer,,,,senior vice president officer,chief consumer credit risk,"(risk data manager, 86, great)",86.0,"(chief risk officer, 71, common)"
210,svp analytics,1.0,senior vice president analytics,analytics,great,100.0,senior vice president,,,100.0,"(data governance, 33, great)"
211,svp - business intelligence (functions as cdo),1.0,senior vice president business intelligence functions as chief data officer,business intelligence,great,90.0,senior vice president officer,,,90.0,"(data governance, 33, great)"
212,,,,,,,,,,,
213,,,,,,,,,,,
214,,,,,,,,,,,
215,,,,,,,,,,,
216,strategic sourcing consultant supply chain management,1.0,strategic sourcing consultant supply chain management,,,,consultant,strategic sourcing supply chain management,"(identity & access management, 86, great)",86.0,"(data management, 80, great)"
217,strategic communications specialist,1.0,strategic communications specialist,,,,specialist,strategic communications,"(clinical informatics, 52, great)",52.0,"(clinical informatics, 55, great)"
218,staff director,1.0,staff director,,,,director,staff,"(chief data officer, 54, great)",54.0,"(chief data officer, 35, great)"
219,sr. systems analyst,1.0,senior systems analyst,,,,senior,systems analyst,"(data analyst, 70, great)",70.0,"(systems analyst, 100, common)"
220,sr. risk officer - international finance corporation,1.0,senior risk officer international finance corporation,,,,senior officer,risk international finance corporation,"(finance change management, 86, great)",86.0,"(information governance, 53, great)"
221,sr. project lead,1.0,senior project lead,,,,senior project lead,,,,
222,sr. portfolio manager - eim - it - business planning & management,1.0,senior portfolio manager enterprise information management it business planning management,information management,great,90.0,senior manager,,,90.0,"(data governance, 33, great)"
223,sr. manager software engineering and product management,1.0,senior manager software engineering and product management,,,,senior manager,software engineering and product management,"(identity & access management, 86, great)",86.0,"(data engineering, 81, common)"
224,sr. manager it data strategy,1.0,senior manager it data strategy,,,,senior manager,it data strategy,"(market data vendor management, 86, great)",86.0,"(big data, 67, great)"
225,sr. manager data governance,1.0,senior manager data governance,data governance,great,100.0,senior manager,,,100.0,"(data governance, 33, great)"
226,sr. manager - data analytics,1.0,senior manager data analytics,analytics,great,90.0,senior manager,,,90.0,"(data governance, 33, great)"
227,sr. manager â€“ data analysis,1.0,senior manager data analysis,,,,senior manager,data analysis,"(data analyst, 88, great)",88.0,"(data analysis, 100, common)"
228,sr. manager,1.0,senior manager,,,,senior manager,,,,
229,sr. information architect - global architecture,1.0,senior information architect global architecture,information architect,great,90.0,senior global,,,90.0,"(data governance, 33, great)"
230,sr. enterprise architect,1.0,senior enterprise architect,enterprise architect,great,100.0,senior,,,100.0,"(data governance, 33, great)"
231,"sr. director, data management and reporting",1.0,senior director data management and reporting,data management,great,90.0,senior director,,,90.0,"(data governance, 33, great)"
232,sr. director of compliance north america,1.0,senior director of compliance north america,,,,senior director of,compliance north america,"(clinical informatics, 55, great)",55.0,"(chief compliance officer, 63, common)"
233,sr. director,1.0,senior director,,,,senior director,,,,
234,sr. direcror - application development,1.0,senior direcror application development,,,,senior,direcror application development,"(clinical applications, 60, great)",60.0,"(application development, 100, common)"
235,sr. dir of  customer service and business process optimization,1.0,senior director of customer service and business process optimization,,,,senior director of,customer service and business process optimization,"(customer data management, 86, great)",86.0,"(business intelligence process, 71, great)"
236,sr. data governance analyst,1.0,senior data governance analyst,data governance,great,90.0,senior,,,90.0,"(data governance, 33, great)"
237,sr. data analyst and architect,1.0,senior data analyst and architect,data analyst,great,90.0,senior,,,90.0,"(data governance, 33, great)"
238,sr. data analysis manager,1.0,senior data analysis manager,,,,senior manager,data analysis,"(data analyst, 88, great)",88.0,"(data analysis, 100, common)"
239,sr. consultant â€“ finance | data governance program office,1.0,senior consultant finance data governance program office,data governance,great,90.0,senior consultant,,,90.0,"(data governance, 33, great)"
240,sr. business & data analyst - dg lead,1.0,senior business data analyst data governance lead,data analyst,great,90.0,senior lead,,,90.0,"(data governance, 33, great)"
241,"sr. architect, business intelligence",1.0,senior architect business intelligence,business intelligence,great,95.0,senior,,,95.0,"(data governance, 33, great)"
242,sr technical procurement,1.0,senior technical procurement,,,,senior,technical procurement,"(quality improvement, 55, great)",55.0,"(quality improvement, 55, great)"
243,sr technical manager,1.0,senior technical manager,,,,senior manager,technical,"(clinical informatics, 60, great)",60.0,"(clinical quality, 48, great)"
244,sr pm edm & data governance,1.0,senior project manager edm data governance,data governance,great,95.0,senior project manager,,,95.0,"(data governance, 33, great)"
245,"sr mgr, business intelligence",1.0,senior manager business intelligence,business intelligence,great,100.0,senior manager,,,100.0,"(data governance, 33, great)"
246,sr mgr of data management,1.0,senior manager of data management,data management,great,100.0,senior manager of,,,100.0,"(data governance, 33, great)"
247,"sr manager, tech integrations it",1.0,senior manager tech integrations it,,,,senior manager,tech integrations it,"(chief information officer, 58, great)",58.0,"(information technology, 62, common)"
248,"sr manager, bi it",1.0,senior manager business intelligence it,business intelligence,great,95.0,senior manager,,,95.0,"(data governance, 33, great)"
249,sr manager - bi / enterprise reporting & analytics,1.0,senior manager business intelligence enterprise reporting analytics,business intelligence,great,90.0,senior manager,,,90.0,"(data governance, 33, great)"
250,sr director of infrastructure & operations,1.0,senior director of infrastructure operations,,,,senior director of,infrastructure operations,"(informatics, 58, great)",58.0,"(operations analyst, 71, common)"
251,sr director,1.0,senior director,,,,senior director,,,,
252,sr data warehouse analyst,1.0,senior data warehouse analyst,data warehouse,great,90.0,senior,,,90.0,"(data governance, 33, great)"
253,sr audit compliance engineer,1.0,senior audit compliance engineer,,,,senior,audit compliance engineer,"(data science, 52, great)",52.0,"(systems engineer, 67, common)"
254,"sr associate,  lead of era",1.0,senior associate lead of era,,,,senior associate lead of,era,"(data protection officer, 60, great)",60.0,"(data governance, 33, great)"
255,"specialist, systems & process management",1.0,specialist systems process management,,,,specialist,systems process management,"(data management, 86, great)",86.0,"(data management, 80, great)"
256,sourcing specialist,1.0,sourcing specialist,,,,specialist,sourcing,"(chief nursing officer, 57, great)",57.0,"(risk reporting, 45, great)"
