,title,title_count,title_split,levels,title_match,new_title,score
126,snr. data analyst manager,9,data analyst,snr manager,"(data analyst, 100)",data analyst,100.0
127,snr. data analysis manager,9,data analysis,snr manager,"(data, 90)",data,90.0
128,"senior vice president, cra compliance, community development banking",9,cra compliance community development banking,senior vice president,"(data science, 45)",data science,45.0
129,"senior manager, supplier diversity and compliance",9,supplier diversity compliance,senior manager,"(decision support, 48)",decision support,48.0
130,"senior manager, regulatory reporting",9,regulatory reporting,senior manager,"(data, 45)",data,45.0
131,"senior manager, enterprise model risk, analytics, and data",9,enterprise model risk analytics data,senior manager,"(analytics, 90)",analytics,90.0
132,"senior manager, data management",9,data management,senior manager,"(data management, 100)",data management,100.0
133,"senior manager, customer data management, enterprise data services",9,customer data management enterprise data services,senior manager,"(data management, 90)",data management,90.0
134,"senior manager of data quality and data governance, enterprise data management",9,data quality data governance enterprise data management,senior manager,"(data management, 90)",data management,90.0
135,senior manager basel data steward,9,basel data steward,senior manager,"(data, 90)",data,90.0
136,senior manager - enterprise architecture,9,enterprise architecture,senior manager,"(enterprise architect, 93)",enterprise architect,93.0
137,senior it manager enterprise data management,9,enterprise data management,senior manager,"(data management, 90)",data management,90.0
138,senior directorû_ enterprise data services,9,enterprise data services,senior director,"(data, 90)",data,90.0
139,"senior director, risk capital and analytics",9,risk capital analytics,senior director,"(analytics, 90)",analytics,90.0
140,"senior director, it",9,,senior director,,,0.0
141,"senior director, financial services it governance & data management",9,financial services governance data management,senior director,"(data management, 90)",data management,90.0
142,"senior director, compliance",9,compliance,senior director,"(business intelligence competency center, 54)",business intelligence competency center,54.0
143,senior director it architecture,9,architecture,senior director,"(architecture, 100)",architecture,100.0
144,senior director information technology - basel and credit risk management application delivery,9,information technology basel credit risk management application delivery,senior director,"(data management, 86)",data management,86.0
145,senior director business technology & strategy - member of cdi team 2007,9,business technology strategy member cdi team,senior director,"(business intelligence, 86)",business intelligence,86.0
146,senior data manager,9,data,senior manager,"(data, 100)",data,100.0
147,senior architect,9,architect,senior,"(information architect, 90)",information architect,90.0
148,scrum master,9,scrum master,,"(master data governance, 86)",master data governance,86.0
149,principle data scientist,9,principle data scientist,,"(data, 90)",data,90.0
150,principal mis analyst,9,principal analyst,,"(data analyst, 70)",data analyst,70.0
151,metadata analyst,9,metadata analyst,,"(data, 90)",data,90.0
152,master system integrator/cs – basel/crm it,9,master system integrator cs basel crm,,"(master data governance, 86)",master data governance,86.0
153,master engineer,9,master engineer,,"(master data governance, 59)",master data governance,59.0
154,master data analyst,9,master data analyst,,"(data, 90)",data,90.0
155,"managing vice president, head of decision sciences us card",9,decision sciences us card,managing vice president head,"(decision support, 86)",decision support,86.0
156,"manager, technology supplier management at capital one",9,technology supplier management capital one,manager,"(data management, 86)",data management,86.0
157,"manager, data quality program",9,data quality program,manager,"(data, 90)",data,90.0
158,"manager, data analyst",9,data analyst,manager,"(data analyst, 100)",data analyst,100.0
159,"manager, data analysis",9,data analysis,manager,"(data, 90)",data,90.0
160,manager of analytics,9,analytics,manager,"(analytics, 100)",analytics,100.0
161,manager enterprise data governance program,9,enterprise data governance program,manager,"(data governance, 90)",data governance,90.0
162,manager data governance,9,data governance,manager,"(data governance, 100)",data governance,100.0
163,"it manager, architecture & data governance",9,architecture data governance,manager,"(data, 90)",data,90.0
164,"head of data strategy and analytics, financial services",9,data strategy analytics financial services,head,"(analytics, 90)",analytics,90.0
165,head of business intelligence,9,business intelligence,head,"(business intelligence, 100)",business intelligence,100.0
166,executive assistant to peiro monteverde,9,peiro monteverde,executive assistant,"(information governance, 47)",information governance,47.0
167,enterprise data office,9,enterprise data office,,"(data, 90)",data,90.0
168,enterprise data management,9,enterprise data management,,"(data management, 90)",data management,90.0
169,enterprise data governance senior manager,9,enterprise data governance,senior manager,"(data, 90)",data,90.0
170,enterprise data governance,9,enterprise data governance,,"(data, 90)",data,90.0
171,ea,9,enterprise architect,,"(enterprise architect, 100)",enterprise architect,100.0
172,director-compliance audit,9,compliance audit,director,"(data science, 54)",data science,54.0
173,"director, risk management basel ii program",9,risk management basel ii program,director,"(data management, 86)",data management,86.0
174,"director, risk management",9,risk management,director,"(customer data management, 86)",customer data management,86.0
175,"director, digital operations",9,digital operations,director,"(data governance, 55)",data governance,55.0
176,"director, data science",9,data science,director,"(data science, 100)",data science,100.0
177,"director, data management, enterprise data services",9,data management enterprise data services,director,"(data management, 90)",data management,90.0
178,"director, customer data management, enterprise data services",9,customer data management enterprise data services,director,"(data management, 90)",data management,90.0
179,"director, compliance, mortgage servicing",9,compliance mortgage servicing,director,"(data services, 62)",data services,62.0
180,"director, business intelligence",9,business intelligence,director,"(business intelligence, 100)",business intelligence,100.0
181,"director, basel/crm it",9,basel crm,director,"(chief data officer, 40)",chief data officer,40.0
182,director of enterprise data architecture,9,enterprise data architecture,director,"(data, 90)",data,90.0
183,director of compliance and sox,9,compliance sox,director,"(customer intelligence, 46)",customer intelligence,46.0
184,director it,9,,director,,,0.0
185,director cra compliance,9,cra compliance,director,"(data science, 54)",data science,54.0
186,director - enterprise data governance,9,enterprise data governance,director,"(data, 90)",data,90.0
187,director - data management for big data,9,data management big data,director,"(data management, 90)",data management,90.0
188,deliver lead - big data,9,deliver lead big data,,"(data, 90)",data,90.0
189,data steward manager,9,data steward,manager,"(data steward, 100)",data steward,100.0
190,data science manager,9,data science,manager,"(data science, 100)",data science,100.0
191,data engineering,9,data engineering,,"(data, 90)",data,90.0
192,data architect - basel data architecture & governance,9,data architect basel data architecture governance,,"(architecture, 90)",architecture,90.0
193,chief compliance officer at sharebuilder,9,chief compliance officer sharebuilder,,"(chief data officer, 86)",chief data officer,86.0
194,change manager,9,change,manager,"(data management, 60)",data management,60.0
195,cdo,9,chief data officer,,"(chief data officer, 100)",chief data officer,100.0
196,basel ii compliance,9,basel ii compliance,,"(business intelligence, 50)",business intelligence,50.0
197,basel 3 program leader,9,basel program leader,,"(master data governance, 43)",master data governance,43.0
198,avp data governance & business analysis,9,data governance business analysis,assistant vice president,"(data governance, 90)",data governance,90.0
199,auto finance data governance lead,9,auto finance data governance lead,,"(data governance, 90)",data governance,90.0
200,application architect,9,application architect,,"(data architect, 86)",data architect,86.0
201,analyst,9,analyst,,"(data analyst, 90)",data analyst,90.0
202,aml compliance manager,9,aml compliance,manager,"(data science, 54)",data science,54.0
203,"administrative assistant to: kristi cunningham, pat branum and ashley sigrest.",9,kristi cunningham pat branum ashley sigrest,administrative assistant,"(data analyst, 52)",data analyst,52.0
204,systems analyst,8,systems analyst,,"(data analyst, 70)",data analyst,70.0
205,senior project manager,8,project,senior manager,"(data protection officer, 77)",data protection officer,77.0
206,senior it officer,8,officer,senior,"(chief data officer, 90)",chief data officer,90.0
207,director data governance,8,data governance,director,"(data governance, 100)",data governance,100.0
208,data governance analyst,8,data governance analyst,,"(data, 90)",data,90.0
209,business intelligence manager,8,business intelligence,manager,"(business intelligence, 100)",business intelligence,100.0
210,application manager,8,application,manager,"(information management, 50)",information management,50.0
211,wholesale banking - data governance,7,wholesale banking data governance,,"(data governance, 90)",data governance,90.0
212,wfs data governance product manager,7,wfs data governance product,manager,"(data, 90)",data,90.0
213,wfhm info quality & metadata mgmt lead,7,wfhm info quality metadata mgmt lead,,"(data quality, 86)",data quality,86.0
214,"vp, risk data governance office, data quality manager",7,risk data governance office data quality,vice president manager,"(data governance, 90)",data governance,90.0
215,vp wholesale data,7,wholesale data,vice president,"(data, 90)",data,90.0
216,vp strategic roadmap and bi capability design,7,strategic roadmap business intelligence capability design,vice president,"(business intelligence, 90)",business intelligence,90.0
217,vp marketing database decision strategy,7,marketing database decision strategy,vice president,"(decision support, 86)",decision support,86.0
218,vp enterprise data management,7,enterprise data management,vice president,"(data management, 90)",data management,90.0
219,vp data governance,7,data governance,vice president,"(data governance, 100)",data governance,100.0
220,vp - systems analysis manager,7,systems analysis,vice president manager,"(analytics, 74)",analytics,74.0
221,"vice president, information architect",7,information architect,vice president,"(information architect, 100)",information architect,100.0
222,"vice president, enterprise messaging and collaboration",7,enterprise messaging collaboration,vice president,"(enterprise architect, 86)",enterprise architect,86.0
223,vice president compliance services,7,compliance services,vice president,"(data services, 72)",data services,72.0
224,vice president - enterprise information services,7,enterprise information services,vice president,"(data services, 86)",data services,86.0
225,technology relationship manager,7,technology relationship,manager,"(chief information officer, 46)",chief information officer,46.0
226,"technology manager, strategic information management",7,technology strategic information management,manager,"(information management, 90)",information management,90.0
227,technical writer/governance program coordinator,7,technical writer governance program coordinator,,"(data governance, 86)",data governance,86.0
228,systems engineer,7,systems engineer,,"(business intelligence competency center, 45)",business intelligence competency center,45.0
229,"svp, strategic planning manager",7,strategic planning,senior vice president manager,"(big data, 54)",big data,54.0
230,svp	 business architecture/risk management,7,business architecture risk management,senior vice president,"(architecture, 90)",architecture,90.0
231,svp wholesale information,7,wholesale information,senior vice president,"(information governance, 70)",information governance,70.0
232,"svp of mktg, internet svcs",7,mktg internet svcs,senior vice president,"(data services, 45)",data services,45.0
233,svp it director - bi/dw,7,business intelligence data warehouse,senior vice president director,"(business intelligence, 90)",business intelligence,90.0
234,strategic sourcing consultant supply chain management,7,strategic sourcing consultant supply chain management,,"(data management, 86)",data management,86.0
235,strategic planning,7,strategic planning,,"(big data, 54)",big data,54.0
236,smorgasbord architect,7,smorgasbord architect,,"(data architect, 86)",data architect,86.0
237,"senior vice president, senior architect",7,architect,senior vice president senior,"(information architect, 90)",information architect,90.0
238,"senior vice president, enterprise architecture",7,enterprise architecture,senior vice president,"(enterprise architect, 93)",enterprise architect,93.0
239,"senior manager, business intelligence and analytic",7,business intelligence analytic,senior manager,"(business intelligence, 95)",business intelligence,95.0
240,project leader,7,project leader,,"(data protection officer, 55)",data protection officer,55.0
241,"program manager, enterprise data governance",7,program enterprise data governance,manager,"(data governance, 90)",data governance,90.0
242,operations risk and compliance manager,7,operations risk compliance,manager,"(information governance, 54)",information governance,54.0
243,"operational risk manager, enterprise data & analytics",7,operational risk enterprise data analytics,manager,"(analytics, 90)",analytics,90.0
244,market risk manager,7,market risk,manager,"(data services, 50)",data services,50.0
245,market data services,7,market data services,,"(data, 90)",data,90.0
246,"manager, strategic planning",7,strategic planning,manager,"(big data, 54)",big data,54.0
247,lead data architect,7,lead data architect,,"(data architect, 95)",data architect,95.0
248,it project manager,7,project,manager,"(data protection officer, 77)",data protection officer,77.0
249,information governance,7,information governance,,"(information governance, 100)",information governance,100.0
250,head of data architecture,7,data architecture,head,"(data architecture, 100)",data architecture,100.0
251,foundational data manager,7,foundational data,manager,"(data, 90)",data,90.0
252,foreign exchange capital markets technology,7,foreign exchange capital markets technology,,"(data warehouse, 51)",data warehouse,51.0
253,enterprise data governance lead,7,enterprise data governance lead,,"(data, 90)",data,90.0
254,enterprise data governance consultant,7,enterprise data governance consultant,,"(data governance, 90)",data governance,90.0
255,enterprise architecht,7,enterprise architecht,,"(enterprise architect, 98)",enterprise architect,98.0
256,director data services (ib),7,data services ib,director,"(data services, 95)",data services,95.0
257,dg project manager - coe,7,data governance project coe,manager,"(data, 90)",data,90.0
258,decision strategy manager,7,decision strategy,manager,"(decision support, 73)",decision support,73.0
259,database manager,7,database,manager,"(data, 90)",data,90.0
260,"database analyst, strategic information management",7,database analyst strategic information management,,"(information management, 90)",information management,90.0
261,database administrator,7,database administrator,,"(data, 90)",data,90.0
262,data.solutions architect,7,data solutions architect,,"(data, 90)",data,90.0
263,data management/data governance advisor,7,data management data governance,advisor,"(data management, 90)",data management,90.0
264,data governance leader,7,data governance leader,,"(data governance, 95)",data governance,95.0
265,"core business configuration, vp, pmp",7,core business configuration pmp,vice president,"(business intelligence, 55)",business intelligence,55.0
266,consumer lending group - operational risk,7,consumer lending group operational risk,,"(analytics, 50)",analytics,50.0
267,"compliance manager monitoring &testing unit, cdg compliance",7,compliance monitoring testing unit cdg compliance,manager,"(information governance, 47)",information governance,47.0
268,compliance and policy support,7,compliance policy support,,"(decision support, 86)",decision support,86.0
269,chief operating officer,7,chief operating officer,,"(chief information officer, 83)",chief information officer,83.0
270,chief financial officer,7,chief financial officer,,"(chief data officer, 80)",chief data officer,80.0
271,cap markets program manager,7,cap markets program,manager,"(data manager, 39)",data manager,39.0
272,business intelligence executive leading wells fargo wholesale banking bi solution delivery,7,business intelligence leading wells fargo wholesale banking business intelligence solution delivery,executive,"(business intelligence, 90)",business intelligence,90.0
273,bsc,7,business solutions consultant,,"(business intelligence, 53)",business intelligence,53.0
274,ba,7,business analyst,,"(business intelligence process, 86)",business intelligence process,86.0
275,avp enterprise risk management group,7,enterprise risk management group,assistant vice president,"(data management, 86)",data management,86.0
276,architecture/mdm initiative,7,architecture master data initiative,manager,"(architecture, 90)",architecture,90.0
277,archhitect,7,archhitect,,"(information architect, 86)",information architect,86.0
278,analytic consultant,7,analytic consultant,,"(analytics, 80)",analytics,80.0
279,"webmaster, architect",6,webmaster architect,,"(architecture, 77)",architecture,77.0
280,vp-director: data management and analytics,6,data management analytics,vice president director,"(data management, 90)",data management,90.0
281,"vp, taxonomy lead",6,taxonomy lead,vice president,"(data, 64)",data,64.0
282,"vp, manager instrument reference data",6,instrument reference data,vice president manager,"(data, 90)",data,90.0
283,"vp, global lead ib intelligence engine data team",6,global lead ib intelligence engine data team,vice president,"(customer intelligence, 86)",customer intelligence,86.0
284,"vp, global finance",6,global finance,vice president,"(information governance, 49)",information governance,49.0
285,"vp, data risk manager",6,data risk,vice president manager,"(data, 90)",data,90.0
286,"vp, data management and governance",6,data management governance,vice president,"(data management, 90)",data management,90.0
287,vp vendor management & sourcing,6,vendor management sourcing,vice president,"(data management, 86)",data management,86.0
288,vp strategy & process improvement,6,strategy process improvement,vice president,"(identity & access management, 54)",identity & access management,54.0
289,vp global finance technology,6,global finance technology,vice president,"(data science, 45)",data science,45.0
290,vp data management,6,data management,vice president,"(data management, 100)",data management,100.0
291,vp / information management & data governance business analyst,6,information management data governance business analyst,vice president,"(information management, 90)",information management,90.0
292,vp - vendor management,6,vendor management,vice president,"(identity & access management, 86)",identity & access management,86.0
293,vp - business operations,6,business operations,vice president,"(business intelligence process, 86)",business intelligence process,86.0
294,vp - architect lead,6,architect lead,vice president,"(information architect, 86)",information architect,86.0
295,vp - adm,6,,vice president administrative,,,0.0
296,"vice president, solutions database architect",6,solutions database architect,vice president,"(data, 90)",data,90.0
297,"vice president, investment data ops manager",6,investment data ops,vice president manager,"(data, 90)",data,90.0
298,"vice president, information management risk lead",6,information management risk lead,vice president,"(information management, 95)",information management,95.0
299,"vice president, global technology",6,global technology,vice president,"(analytics, 40)",analytics,40.0
300,"vice president, global pricing operations, worldwide securities services",6,global pricing operations worldwide securities services,vice president,"(data services, 86)",data services,86.0
301,"vice president, derivatives data architect",6,derivatives data architect,vice president,"(data architect, 90)",data architect,90.0
302,"vice president, data architect",6,data architect,vice president,"(data architect, 100)",data architect,100.0
303,"vice president, compliance",6,compliance,vice president,"(business intelligence competency center, 54)",business intelligence competency center,54.0
304,"vice president, capital markets origination data steward",6,capital markets origination data steward,vice president,"(data steward, 90)",data steward,90.0
305,"vice president, am data officer",6,data officer,vice president,"(chief data officer, 90)",chief data officer,90.0
306,vice president -vendor management,6,vendor management,vice president,"(identity & access management, 86)",identity & access management,86.0
307,vice president - senior program manager,6,program,vice president senior manager,"(information management, 39)",information management,39.0
308,vice president - risk management & technology,6,risk management technology,vice president,"(data management, 86)",data management,86.0
309,vice president - project management office,6,project management office,vice president,"(data management, 86)",data management,86.0
310,vice president - global technology,6,global technology,vice president,"(analytics, 40)",analytics,40.0
311,vice president - corporate technology and risk & application development services,6,corporate technology risk application development services,vice president,"(data services, 86)",data services,86.0
312,vendor vice president,6,vendor,vice president,"(information management, 45)",information management,45.0
313,vendor manager and markets and investor services,6,vendor markets investor services,manager,"(data services, 86)",data services,86.0
314,vendor management,6,vendor management,,"(identity & access management, 86)",identity & access management,86.0
315,"technology director, risk technology",6,technology risk technology,director,"(information architect, 42)",information architect,42.0
316,team lead bicc,6,team lead business intelligence competency center,,"(business intelligence competency center, 95)",business intelligence competency center,95.0
317,"strategic principal investments, executive director",6,strategic principal investments,executive director,"(data management, 48)",data management,48.0
318,sr. solution architect - information management & governance,6,solution architect information management governance,senior,"(information management, 90)",information management,90.0
319,"sr. architect lead , vp in ib prime services",6,architect lead ib prime services,senior vice president,"(data services, 86)",data services,86.0
320,sourcing & procurement services,6,sourcing procurement services,,"(data services, 86)",data services,86.0
321,senior vp risk managment,6,risk managment,senior vice president,"(information management, 71)",information management,71.0
322,senior risk manager basel ii economic ca,6,risk basel ii economic ca,senior manager,"(business intelligence process, 41)",business intelligence process,41.0
323,senior risk director,6,risk,senior director,"(enterprise architect, 68)",enterprise architect,68.0
324,senior consultant,6,consultant,senior,"(decision support, 46)",decision support,46.0
325,senior business analyst,6,business analyst,senior,"(business intelligence process, 86)",business intelligence process,86.0
326,senior analyst- private banking data management,6,analyst private banking data management,senior,"(data management, 90)",data management,90.0
327,reference data programme manager,6,reference data programme,manager,"(data, 90)",data,90.0
328,reference data manager,6,reference data,manager,"(data, 90)",data,90.0
329,reference data and pricing manager,6,reference data pricing,manager,"(data, 90)",data,90.0
330,project associate,6,project,associate,"(data protection officer, 77)",data protection officer,77.0
331,"program manager, aml global financial crimes compliance",6,program aml global financial crimes compliance,manager,"(data services, 49)",data services,49.0
332,program manager integration & data services,6,program integration data services,manager,"(data services, 90)",data services,90.0
333,productgroupchef electronic banking channels,6,productgroupchef electronic banking channels,,"(chief data officer, 45)",chief data officer,45.0
334,product management,6,product management,,"(identity & access management, 86)",identity & access management,86.0
335,procurement officer,6,procurement officer,,"(data protection officer, 62)",data protection officer,62.0
336,procurement,6,procurement,,"(customer data management, 46)",customer data management,46.0
337,process manager,6,process,manager,"(business intelligence process, 90)",business intelligence process,90.0
338,practice director of data management,6,practice data management,director,"(data management, 90)",data management,90.0
339,pmo lead for global pricing operations,6,pmo lead global pricing operations,,"(information governance, 47)",information governance,47.0
341,mgr infrastructure,6,infrastructure,manager,"(information architect, 57)",information architect,57.0
342,mgr decentralised systems,6,decentralised systems,manager,"(analytics, 50)",analytics,50.0
343,metadata manager,6,metadata,manager,"(data, 90)",data,90.0
344,"md, treasury services",6,md treasury services,,"(data services, 86)",data services,86.0
345,market data vendor manager,6,market data vendor,manager,"(data, 90)",data,90.0
346,"managing director, fw engineering & architecture",6,fw engineering architecture,managing director,"(architecture, 90)",architecture,90.0
347,"managing director, data management & analytics (retail financial services)",6,data management analytics retail financial services,managing director,"(data management, 90)",data management,90.0
348,"managing director, chief technology officer, data acquisition & hosting",6,chief technology officer data acquisition hosting,managing director,"(chief data officer, 86)",chief data officer,86.0
349,managing director for office of regulatory affairs,6,office regulatory affairs,managing director,"(data protection officer, 55)",data protection officer,55.0
350,managing director - senior architect and head of data management,6,architect data management,managing director senior head,"(data management, 90)",data management,90.0
351,managing director - credit risk technology,6,credit risk technology,managing director,"(data architect, 51)",data architect,51.0
