,leadid,title,eloquascorecard,title_split,temp,temp_level,temp_title,temp_score
63,00Q2000000owMQp,asdas,D4,asdas,"(nan, nan, 50)",,,50
64,00Q2000000pqvuv,presales engineer,D4,presales engineer,"(nan, sales, 10)",,sales,10
65,00Q2000000ouVGf,data project manager,D4,data project manager,"(manager, data, 63)",manager,data,63
66,00Q2000000owgse,vp & gm,D4,vp gm,"(vp, nan, 63)",vp,,63
67,00Q2000000pqt7w,dba,D4,dba,"(nan, nan, 50)",,,50
68,00Q2000000o9ZAc,sales dev,D4,sales dev,"(nan, sales, 10)",,sales,10
69,00Q2000000owJgV,student,,student,"(nan, nan, 50)",,,50
70,00Q2000000ovNnD,de,D4,de,"(nan, nan, 50)",,,50
71,00Q2000000o8w28,senior office manager poland,D4,senior office manager poland,"(manager, nan, 58)",manager,,58
72,00Q2000000oxRBL,tester,D4,tester,"(nan, nan, 50)",,,50
73,00Q2000000ovNUz,sdr,D4,sdr,"(nan, nan, 50)",,,50
74,00Q2000000o8gVJ,test md,D4,test md,"(nan, nan, 50)",,,50
75,00Q2000000oxCHH,analyst,D4,analyst,"(nan, nan, 50)",,,50
76,00Q2000000o8iD1,"coordinator, talent acquisition",D4,coordinator talent acquisition,"(nan, nan, 50)",,,50
77,00Q2000000oxBY2,marketing executive,D4,marketing executive,"(c-level, nan, 65)",c-level,,65
78,00Q2000000pr8By,job application sales director emea,D4,job application sales director emea,"(director, sales, 20)",director,sales,20
79,00Q2000000o7GFL,to,D4,to,"(nan, nan, 50)",,,50
80,00Q2000000oyBJX,privat,D4,privat,"(nan, nan, 50)",,,50
81,00Q2000000o7Mgc,tbd,D4,tbd,"(nan, nan, 50)",,,50
82,00Q2000000ovVC9,test,D4,test,"(nan, nan, 50)",,,50
83,00Q2000000oxqfj,hjsdjds,D4,hjsdjds,"(nan, nan, 50)",,,50
84,00Q2000000oxFj3,owner,D4,owner,"(nan, nan, 50)",,,50
85,00Q2000000owvx0,"director, content marketing",D4,director content marketing,"(director, nan, 60)",director,,60
86,00Q2000000prQP2,pm,,project manager,"(manager, nan, 58)",manager,,58
87,00Q2000000oxy8C,principal,D4,principal,"(individual contributer, nan, 53)",individual contributer,,53
88,00Q2000000pquvi,arbi,D4,arbi,"(nan, nan, 50)",,,50
89,00Q2000000prXKZ,sr community programs manager,D4,senior community programs manager,"(manager, nan, 58)",manager,,58
90,00Q2000000prLq3,systems analyst,D4,systems analyst,"(nan, nan, 50)",,,50
91,00Q2000000o8YpQ,architect,D4,architect,"(nan, nan, 50)",,,50
92,00Q2000000o8X5w,tl,D4,tl,"(nan, nan, 50)",,,50
93,00Q2000000o8fqG,test,D4,test,"(nan, nan, 50)",,,50
94,00Q2000000nDomW,head of product marketing enablement,D4,head of product marketing enablement,"(department head, nan, 61)",department head,,61
95,00Q2000000o8Z4V,director,D4,director,"(director, nan, 60)",director,,60
96,00Q2000000lUiKv,"director, it governance",D4,director it governance,"(director, governance, 70)",director,governance,70
97,00Q2000000ovODB,"director - market intelligence, data and analysis",,director market intelligence data and analysis,"(director, data, 65)",director,data,65
98,00Q2000000o8NbQ,"vice president, business intelligence manager",D4,vice president business intelligence manager,"(vp, business intelligence, 85)",vp,business intelligence,85
99,00Q2000000lUiKx,director_ information security and governance,D4,director information security and governance,"(director, information governance, 77)",director,information governance,77
100,00Q2000000ovO7h,enterprise data management - mi/bi operations manager,D4,enterprise data management mi business intelligence operations manager,"(manager, data management, 80)",manager,data management,80
101,00Q2000000o8NbR,"vice president, crm and business intelligence business leader",D4,vice president crm and business intelligence business leader,"(vp, business intelligence, 85)",vp,business intelligence,85
102,00Q2000000lUiKz,it governance specialist,D4,it governance specialist,"(individual contributer, governance, 63)",individual contributer,governance,63
103,00Q2000000ovOCS,senior associate - data governance and quality,,senior associate data governance and quality,"(individual contributer, data governance, 80)",individual contributer,data governance,80
104,00Q2000000nDDsR,founder,D4,founder,"(nan, nan, 50)",,,50
105,00Q2000000lUiL0,"manager, enterprise, strategy, and governance",D4,manager enterprise strategy and governance,"(manager, enterprise governance, 73)",manager,enterprise governance,73
106,00Q2000000kJPal,chief risk officer qbe north america,C4,chief risk officer qbe north america,"(c-level, chief risk officer, 85)",c-level,chief risk officer,85
107,00Q2000000mNfQ8,mag.,D4,mag,"(nan, nan, 50)",,,50
108,00Q2000000lUiL2,"manager, it governance/compliance",D4,manager it governance compliance,"(manager, compliance governance, 78)",manager,compliance governance,78
109,00Q2000000SKHk0,chef de projet moa,D4,chef de projet moa,"(nan, nan, 50)",,,50
110,00Q2000000mMmZo,vice president of information systems,C4,vice president of information systems,"(vp, information, 70)",vp,information,70
111,00Q2000000Y3Gcr,informatiearchitect,D4,informatiearchitect,"(nan, nan, 50)",,,50
112,00Q2000000SKHk2,vice prsidente,D4,vice pr sidente,"(nan, nan, 50)",,,50
113,00Q2000000mMmZp,lead information systems analyst,C4,lead information systems analyst,"(manager, information, 65)",manager,information,65
114,00Q2000000Y3Gcv,portfolio services manager,D4,portfolio services manager,"(manager, nan, 58)",manager,,58
115,00Q2000000SKHk3,sr data governance manager,D4,senior data governance manager,"(manager, data governance, 95)",manager,data governance,95
116,00Q2000000mMmZq,lead information systems analyst,C4,lead information systems analyst,"(manager, information, 65)",manager,information,65
117,00Q2000000lUiJq,"senior manager, global database services",D4,senior manager global database services,"(manager, database, 38)",manager,database,38
118,00Q2000000SKHk7,information technology team manager,D4,information technology team manager,"(manager, information, 65)",manager,information,65
119,00Q2000000mMmZr,information systems application manager,C4,information systems application manager,"(manager, information, 65)",manager,information,65
120,00Q2000000lUiJr,systems data architect,D4,systems data architect,"(individual contributer, data architect, 65)",individual contributer,data architect,65
121,00Q2000000SKHkA,directeur du dveloppement,D4,directeur du veloppement,"(director, nan, 60)",director,,60
122,00Q2000000mMmZs,information systems operations,C4,information systems operations,"(nan, information operations, 62)",,information operations,62
123,00Q2000000lUiJs,team lead and senior database administrator,D4,team lead and senior database administrator,"(manager, database, 38)",manager,database,38
124,00Q2000000SKHkC,directeur gnral cti,D4,directeur ral cti,"(director, nan, 60)",director,,60
125,00Q2000000mMmZt,information technology project manager,C4,information technology project manager,"(manager, information, 65)",manager,information,65
126,00Q2000000lUiJt,"team lead, master data portal administration",D4,team lead master data portal administration,"(manager, master data, 70)",manager,master data,70
127,00Q2000000SKHkE,sales manager,D4,sales manager,"(manager, sales, 18)",manager,sales,18
128,00Q2000000mMmZu,manager information systems asset,C4,manager information systems asset,"(manager, information, 65)",manager,information,65
129,00Q2000000lUiJw,business intelligence analyst,D4,business intelligence analyst,"(individual contributer, business intelligence, 70)",individual contributer,business intelligence,70
130,00Q2000000kLKCZ,data engineer,D4,data engineer,"(individual contributer, data engineer, 65)",individual contributer,data engineer,65
131,00Q2000000mMmZv,lead information systems analyst,C4,lead information systems analyst,"(manager, information, 65)",manager,information,65
132,00Q2000000lUiJz,business intelligence team lead,D4,business intelligence team lead,"(manager, business intelligence, 80)",manager,business intelligence,80
133,00Q2000000kLKCf,director of front end architecture,D4,director of front end architecture,"(director, nan, 60)",director,,60
134,00Q2000000mMmZw,associate project manager information technology,C4,associate project manager information technology,"(manager, information, 65)",manager,information,65
135,00Q2000000lUiK0,"coe leader, operational intelligence",D4,coe leader operational intelligence,"(individual contributer, nan, 53)",individual contributer,,53
136,00Q2000000kLKCg,data steward,D4,data steward,"(individual contributer, data steward, 85)",individual contributer,data steward,85
137,00Q2000000mMmZx,director information systems enterprise architecture,C4,director information systems enterprise architecture,"(director, information enterprise, 72)",director,information enterprise,72
138,00Q2000000lUiK1,"director, business intelligence and analytics",D4,director business intelligence and analytics,"(director, analytics, 85)",director,analytics,85
139,00Q2000000kLKCh,data engineer,D4,data engineer,"(individual contributer, data engineer, 65)",individual contributer,data engineer,65
140,00Q2000000mMmZy,senior information technology audit specialist,C4,senior information technology audit specialist,"(individual contributer, information, 60)",individual contributer,information,60
141,00Q2000000lUiK2,"director, global business intelligence",D4,director global business intelligence,"(director, business intelligence, 85)",director,business intelligence,85
142,00Q2000000kLKCm,mgr data warehouse technologies,D4,manager data warehouse technologies,"(manager, data warehouse, 75)",manager,data warehouse,75
143,00Q2000000mMmZz,lead information systems analyst,C4,lead information systems analyst,"(manager, information, 65)",manager,information,65
144,00Q2000000lUiK3,"director, global business intelligence",D4,director global business intelligence,"(director, business intelligence, 85)",director,business intelligence,85
145,00Q2000000kLKCn,"mgr, master data services",D4,manager master data services,"(manager, data services, 65)",manager,data services,65
146,00Q2000000mMma0,information systems security analyst,C4,information systems security analyst,"(nan, information, 57)",,information,57
147,00Q2000000lUiK4,"director, sap business intelligence",D4,director sap business intelligence,"(director, business intelligence, 85)",director,business intelligence,85
148,00Q2000000kLKCp,show host,,show host,"(nan, nan, 50)",,,50
149,00Q2000000mMma1,information technology application systems analysts,C4,information technology application systems analysts,"(nan, information, 57)",,information,57
150,00Q2000000lUiK6,"executive director, business intelligence",D4,executive director business intelligence,"(c-level, business intelligence, 85)",c-level,business intelligence,85
151,00Q2000000kLKCv,data architect ii - 1969,D4,data architect ii,"(individual contributer, data architect, 65)",individual contributer,data architect,65
152,00Q2000000mMma2,director of information technology,C4,director of information technology,"(director, information, 67)",director,information,67
153,00Q2000000lUiK7,it business intelligence lead,D4,it business intelligence lead,"(manager, business intelligence, 80)",manager,business intelligence,80
154,00Q2000000kLKCw,lead management consultant,,lead management consultant,"(manager, nan, 58)",manager,,58
155,00Q2000000mMma3,project manager information technology,C4,project manager information technology,"(manager, information, 65)",manager,information,65
156,00Q2000000lUiK9,"manager, business intelligence",D4,manager business intelligence,"(manager, business intelligence, 80)",manager,business intelligence,80
157,00Q2000000kLKCC,data governance analyst,D4,data governance analyst,"(individual contributer, data governance, 80)",individual contributer,data governance,80
158,00Q2000000mMma4,executive vice president and chief information officer,C4,executive vice president and chief information officer,"(c-level, chief information officer, 85)",c-level,chief information officer,85
159,00Q2000000lUiKA,"manager, business intelligence",D4,manager business intelligence,"(manager, business intelligence, 80)",manager,business intelligence,80
160,00Q2000000kLKCE,data architect,D4,data architect,"(individual contributer, data architect, 65)",individual contributer,data architect,65
161,00Q2000000mMma5,lead analyst-information systems,C4,lead analyst information systems,"(manager, information, 65)",manager,information,65
162,00Q2000000lUiKC,"manager, business intelligence, customer information, and collaboration applications run support",D4,manager business intelligence customer information and collaboration applications run support,"(manager, business intelligence, 80)",manager,business intelligence,80
163,00Q2000000kLKCF,sr. technical architect,D4,senior technical architect,"(individual contributer, nan, 53)",individual contributer,,53
164,00Q2000000qi0S4,director,D4,director,"(director, nan, 60)",director,,60
165,00Q2000000lUiKD,"manager, global business intelligence support",D4,manager global business intelligence support,"(manager, business intelligence, 80)",manager,business intelligence,80
166,00Q2000000kLKCK,program chair,D4,program chair,"(nan, nan, 50)",,,50
167,00Q2000000o8Naa,vice president business intelligence,C4,vice president business intelligence,"(vp, business intelligence, 85)",vp,business intelligence,85
168,00Q2000000lUiKE,"manager, sap business intelligence",D4,manager sap business intelligence,"(manager, business intelligence, 80)",manager,business intelligence,80
169,00Q2000000kLKCO,"director, data science",D4,director data science,"(director, data science, 80)",director,data science,80
170,00Q2000000o8Nab,"vice president, business intelligence",D4,vice president business intelligence,"(vp, business intelligence, 85)",vp,business intelligence,85
171,00Q2000000lUiKF,principal business intelligence architect,D4,principal business intelligence architect,"(individual contributer, business intelligence, 70)",individual contributer,business intelligence,70
172,00Q2000000kLKCP,data analyst ii,D4,data analyst ii,"(nan, data, 55)",,data,55
173,00Q2000000o8Nac,"vice president, business intelligence product management",D4,vice president business intelligence product management,"(vp, business intelligence, 85)",vp,business intelligence,85
174,00Q2000000lUiKG,"program manager, business intelligence",D4,program manager business intelligence,"(manager, business intelligence, 80)",manager,business intelligence,80
175,00Q2000000kLKCS,architecture director,D4,architecture director,"(director, nan, 60)",director,,60
176,00Q2000000o8Nad,assistant vice president business intelligence,C4,assistant vice president business intelligence,"(vp, business intelligence, 85)",vp,business intelligence,85
177,00Q2000000lUiKH,"program manager, business intelligence (bi)",D4,program manager business intelligence business intelligence,"(manager, business intelligence, 80)",manager,business intelligence,80
178,00Q2000000kLKCV,director information strategy,D4,director information strategy,"(director, information, 67)",director,information,67
179,00Q2000000o8Nae,"vice president, analytic insights and business intelligence",D4,vice president analytic insights and business intelligence,"(vp, business intelligence, 85)",vp,business intelligence,85
180,00Q2000000lUiKI,"program manager, business intelligence and finance analytics",D4,program manager business intelligence and finance analytics,"(manager, analytics, 80)",manager,analytics,80
181,00Q2000000qKtca,account director,D4,account director,"(director, nan, 60)",director,,60
182,00Q2000000o8Naf,"vice president, business and clinical intelligence",C4,vice president business and clinical intelligence,"(vp, nan, 63)",vp,,63
183,00Q2000000lUiKJ,"project manager, business intelligence",D4,project manager business intelligence,"(manager, business intelligence, 80)",manager,business intelligence,80
184,00Q2000000qKtcb,market manager,D4,market manager,"(manager, nan, 58)",manager,,58
185,00Q2000000o8Nag,"vice president director, business intelligence",D4,vice president director business intelligence,"(vp, business intelligence, 85)",vp,business intelligence,85
186,00Q2000000lUiKK,senior business intelligence developer,D4,senior business intelligence developer,"(individual contributer, business intelligence, 70)",individual contributer,business intelligence,70
187,00Q2000000qKtcc,"business manager, securities mi",D4,business manager securities mi,"(manager, nan, 58)",manager,,58
188,00Q2000000o8Nah,"vice president, business intelligence and data analytics",D4,vice president business intelligence and data analytics,"(vp, analytics, 90)",vp,analytics,90
189,00Q2000000lUiKL,senior business intelligence programmer analyst,D4,senior business intelligence programmer analyst,"(individual contributer, business intelligence, 70)",individual contributer,business intelligence,70
190,00Q2000000qKtcd,"account director, investment management",D4,account director investment management,"(director, nan, 60)",director,,60
191,00Q2000000o8Nai,"vice president, business intelligence and finance transformation",C4,vice president business intelligence and finance transformation,"(vp, business intelligence, 85)",vp,business intelligence,85
192,00Q2000000lUwCG,data architect,C4,data architect,"(individual contributer, data architect, 65)",individual contributer,data architect,65
193,00Q2000000qKtce,head of securities markets,D4,head of securities markets,"(department head, nan, 61)",department head,,61
194,00Q2000000o8Naj,vice president - business intelligence,C4,vice president business intelligence,"(vp, business intelligence, 85)",vp,business intelligence,85
195,00Q2000000lUwCO,vice president of information technology operations,C4,vice president of information technology operations,"(vp, information operations, 75)",vp,information operations,75
196,00Q2000000qKtcf,coo,D4,chief operating officer,"(individual contributer, chief operating officer, 85)",individual contributer,chief operating officer,85
197,00Q2000000o8Nak,vice president enterprise business intelligence,D4,vice president enterprise business intelligence,"(vp, business intelligence, 85)",vp,business intelligence,85
198,00Q2000000lUwCP,director claims information technology,C4,director claims information technology,"(director, information, 67)",director,information,67
199,00Q2000000qKtcg,barista,D4,barista,"(nan, nan, 50)",,,50
200,00Q2000000o8Nam,"vice president, global strategy and business intelligence",C4,vice president global strategy and business intelligence,"(vp, business intelligence, 85)",vp,business intelligence,85
201,00Q2000000lUwCQ,business continuity manager information technology,C4,business continuity manager information technology,"(manager, information, 65)",manager,information,65
202,00Q2000000qKtch,owner,D4,owner,"(nan, nan, 50)",,,50
203,00Q2000000o8Nan,senior vice president business intelligence group,D4,senior vice president business intelligence group,"(vp, business intelligence, 85)",vp,business intelligence,85
204,00Q2000000lUwCR,information technology and information systems director,C4,information technology and information systems director,"(director, information information, 74)",director,information information,74
205,00Q2000000qKtci,global product manager - trading,D4,global product manager trading,"(manager, nan, 58)",manager,,58
206,00Q2000000o8Nao,"assistant vice president, enterprise business intelligence",C4,assistant vice president enterprise business intelligence,"(vp, business intelligence, 85)",vp,business intelligence,85
207,00Q2000000lUwCS,"director, claims information technology operations and transition",C4,director claims information technology operations and transition,"(director, information operations, 72)",director,information operations,72
208,00Q2000000qKtcj,evp & md fsd,D4,evp md fsd,"(vp, nan, 63)",vp,,63
209,00Q2000000o8Nap,vice president business intelligence,C4,vice president business intelligence,"(vp, business intelligence, 85)",vp,business intelligence,85
210,00Q2000000lUwCT,information technology performance manager,C4,information technology performance manager,"(manager, information performance, 55)",manager,information performance,55
211,00Q2000000qKtck,coo,D4,chief operating officer,"(individual contributer, chief operating officer, 85)",individual contributer,chief operating officer,85
212,00Q2000000o8Naq,assistant vice president business intelligence solution,D4,assistant vice president business intelligence solution,"(vp, business intelligence, 85)",vp,business intelligence,85
213,00Q2000000lUwCU,business information security officer,C4,business information security officer,"(nan, information, 57)",,information,57
214,00Q2000000qKtcl,"partner, head of operations",D4,partner head of operations,"(department head, operations, 66)",department head,operations,66
215,00Q2000000o8Nar,vice president of business intelligence,C4,vice president of business intelligence,"(vp, business intelligence, 85)",vp,business intelligence,85
216,00Q2000000lUwCV,director business systems - non information technology,C4,director business systems non information technology,"(director, information, 67)",director,information,67
217,00Q2000000qKtcm,deputy coo,D4,deputy chief operating officer,"(c-level, chief operating officer, 90)",c-level,chief operating officer,90
218,00Q2000000o8Nas,assistant vice president business intelligence developer,D4,assistant vice president business intelligence developer,"(vp, business intelligence, 85)",vp,business intelligence,85
219,00Q2000000lUwCW,director of information technology finance,C4,director of information technology finance,"(director, information, 67)",director,information,67
220,00Q2000000qKtcn,"managing director, ubs delta",D4,managing director ubs delta,"(director, nan, 60)",director,,60
221,00Q2000000o8Nat,vice president-business intelligence global shared services,C4,vice president business intelligence global shared services,"(vp, business intelligence, 85)",vp,business intelligence,85
222,00Q2000000lUwCX,information technology systems analyst,C4,information technology systems analyst,"(nan, information, 57)",,information,57
223,00Q2000000qKtco,md- head of quant r&d and client development,D4,md head of quant and client development,"(department head, nan, 61)",department head,,61
224,00Q2000000o8Nau,"assistant vice president, business intelligence and integration",D4,assistant vice president business intelligence and integration,"(vp, business intelligence, 85)",vp,business intelligence,85
225,00Q2000000lUwCY,"project manager, information technology release",C4,project manager information technology release,"(manager, information, 65)",manager,information,65
226,00Q2000000qKtcp,ubs delta,D4,ubs delta,"(nan, nan, 50)",,,50
227,00Q2000000o8Nav,"senior vice president, business intelligence",D4,senior vice president business intelligence,"(vp, business intelligence, 85)",vp,business intelligence,85
228,00Q2000000lUwIe,senior business system analyst,D4,senior business system analyst,"(individual contributer, nan, 53)",individual contributer,,53
229,00Q2000000qKtcq,head market access and swiss rep,D4,head market access and swiss rep,"(department head, nan, 61)",department head,,61
230,00Q2000000o8Nay,managing director of healthcare business intelligence and analytics,D4,managing director of healthcare business intelligence and analytics,"(director, analytics, 85)",director,analytics,85
231,00Q2000000lUwIf,information technology business analyst,D4,information technology business analyst,"(individual contributer, business analyst, 60)",individual contributer,business analyst,60
232,00Q2000000qKtcr,director,D4,director,"(director, nan, 60)",director,,60
233,00Q2000000o8Naz,"vice president, business intelligence architect",C4,vice president business intelligence architect,"(vp, business intelligence, 85)",vp,business intelligence,85
234,00Q2000000lUwIh,senior business analyst,D4,senior business analyst,"(individual contributer, business analyst, 60)",individual contributer,business analyst,60
235,00Q2000000qKtcs,"executive director, global head of investment performance measurement",D4,executive director global head of investment performance measurement,"(c-level, performance, 55)",c-level,performance,55
236,00Q2000000mNlyc,president,D4,president,"(vp, nan, 63)",vp,,63
237,00Q2000000lUwIj,"director, business planning and analysis",D4,director business planning and analysis,"(director, nan, 60)",director,,60
238,00Q2000000qKtct,"ubs delta marketer, investment bank",D4,ubs delta marketer investment bank,"(nan, nan, 50)",,,50
239,00Q2000000mMyZQ,architect,D4,architect,"(nan, nan, 50)",,,50
240,00Q2000000lUwIl,manager business performance,D4,manager business performance,"(manager, performance, 48)",manager,performance,48
241,00Q2000000qKtcu,"head of presales, emea",D4,head of presales emea,"(department head, sales, 21)",department head,sales,21
242,00Q2000000mMyZR,big data consulting systems engineer,D4,big data consulting systems engineer,"(nan, big data, 60)",,big data,60
243,00Q2000000NITvC,analyst,D4,analyst,"(nan, nan, 50)",,,50
244,00Q2000000qKtcv,director of client services,D4,director of client services,"(director, nan, 60)",director,,60
245,00Q2000000mMyZS,engineer,D4,engineer,"(nan, nan, 50)",,,50
246,00Q2000000qKtcw,managing director,D4,managing director,"(director, nan, 60)",director,,60
247,00Q2000000mMyZZ,sr. manager,D4,senior manager,"(manager, nan, 58)",manager,,58
248,00Q2000000NIUiT,senior vp data management,D4,senior vp data management,"(vp, data management, 85)",vp,data management,85
249,00Q2000000qKtcx,client reporting,C4,client reporting,"(nan, reporting, 60)",,reporting,60
250,00Q2000000mMyZa,"director, engineering analysis",D4,director engineering analysis,"(director, nan, 60)",director,,60
251,00Q2000000NIUiU,"cio, cto, cko",D4,chief information officer chief technology officer chief knowledge officer,"(c-level, chief information officer, 85)",c-level,chief information officer,85
252,00Q2000000qKtcz,head of client management,C4,head of client management,"(department head, nan, 61)",department head,,61
253,00Q2000000mMyZb,sr. analyst,D4,senior analyst,"(individual contributer, nan, 53)",individual contributer,,53
254,00Q2000000NIUiW,system specialist,D4,system specialist,"(individual contributer, nan, 53)",individual contributer,,53
255,00Q2000000qzr78,datasteward hypotheken,D4,datasteward hypotheken,"(nan, data, 55)",,data,55
256,00Q2000000mMyZd,lead technical architect (big data engg),D4,lead technical architect big data engg,"(manager, big data, 68)",manager,big data,68
257,00Q2000000NIUif,vp/dir/mgr is/it/dp,D4,vp director manager is it dp,"(vp, nan, 63)",vp,,63
258,00Q2000000WCtIC,chief data officer,,chief data officer,"(individual contributer, chief data officer, 100)",individual contributer,chief data officer,100
259,00Q2000000mMyZe,"manager, datawarehouse engineering",D4,manager datawarehouse engineering,"(manager, data, 63)",manager,data,63
260,00Q2000000NIUih,consultants/system integrators,D4,consultants system integrators,"(consultant, nan, 51)",consultant,,51
261,00Q2000000WCtIE,managing director,D4,managing director,"(director, nan, 60)",director,,60
262,00Q2000000mMyZf,senior manager - engineering,D4,senior manager engineering,"(manager, nan, 58)",manager,,58
263,00Q2000000NIUii,senior manager - dw & bi,D4,senior manager data warehouse business intelligence,"(manager, business intelligence, 80)",manager,business intelligence,80
264,00Q2000000WCtIN,vice president,D4,vice president,"(vp, nan, 63)",vp,,63
265,00Q2000000mMyZh,global solution architect - big data engineering,D4,global solution architect big data engineering,"(individual contributer, data engineer, 65)",individual contributer,data engineer,65
266,00Q2000000NIUij,"dwarchitect, manager, analyst, business analyst",D4,data warehouse architect manager analyst business analyst,"(manager, data warehouse, 75)",manager,data warehouse,75
