,title,title_split,temp,temp_level,temp_title,temp_score
312,transformation manager,transformation manager,"(manager, nan, 58)",manager,,58
313,vp,vp,"(vp, nan, 63)",vp,,63
314,vp - data governance and standards,vp data governance and standards,"(vp, data governance, 95)",vp,data governance,95
315,vp - information technology,vp information technology,"(vp, information, 70)",vp,information,70
316,vp data architecture governance,vp data architecture governance,"(vp, data architect, 80)",vp,data architect,80
317,vp sales,vp sales,"(vp, sales, 23)",vp,sales,23
318,vice president,vice president,"(vp, nan, 63)",vp,,63
319,"vice president ,  it governance, risk and compliance",vice president it governance risk and compliance,"(vp, governance compliance, 83)",vp,governance compliance,83
320,vice president - project manager,vice president project manager,"(vp, nan, 63)",vp,,63
321,vice president - technology audit,vice president technology audit,"(vp, nan, 63)",vp,,63
322,"vice president, data steward",vice president data steward,"(vp, data steward, 90)",vp,data steward,90
323,"vice president, enterprise data governance officer",vice president enterprise data governance officer,"(vp, data governance, 95)",vp,data governance,95
324,vice president/global ground transportation manager,vice president global ground transportation manager,"(vp, nan, 63)",vp,,63
325,_experienced finance and it professional,experienced finance and it professional,"(nan, nan, 50)",,,50
326,_performance innovation coach,performance innovation coach,"(nan, performance, 40)",,performance,40
327,asdfsadf,asdfsadf,"(nan, nan, 50)",,,50
328,avsd,avsd,"(nan, nan, 50)",,,50
329,cdp,cdp,"(nan, nan, 50)",,,50
330,customer data governance manager,customer data governance manager,"(manager, data governance, 95)",manager,data governance,95
331,da,da,"(nan, nan, 50)",,,50
332,data governance program manager,data governance program manager,"(manager, data governance, 95)",manager,data governance,95
333,data integrity manager,data integrity manager,"(manager, data, 63)",manager,data,63
334,data process analyst,data process analyst,"(nan, data, 55)",,data,55
335,dfgdf,dfgdf,"(nan, nan, 50)",,,50
336,dpo,dpo,"(nan, nan, 50)",,,50
337,dq technical lead,dq technical lead,"(manager, nan, 58)",manager,,58
338,engineer,engineer,"(nan, nan, 50)",,,50
339,fasdf,fasdf,"(nan, nan, 50)",,,50
340,miss,miss,"(nan, nan, 50)",,,50
341,mss,mss,"(nan, nan, 50)",,,50
342,mushtaq.saleem@lgim.com,mushtaq saleem lgim com,"(nan, nan, 50)",,,50
343,principal architect,principal architect,"(individual contributer, nan, 53)",individual contributer,,53
344,research associate,research associate,"(individual contributer, nan, 53)",individual contributer,,53
345,sales & mktg,sales mktg,"(nan, sales, 10)",,sales,10
346,sdfjdf,sdfjdf,"(nan, nan, 50)",,,50
347,solutions knowledge leader,solutions knowledge leader,"(individual contributer, nan, 53)",individual contributer,,53
348,sr manager privacy complaince,senior manager privacy complaince,"(manager, nan, 58)",manager,,58
349,sr. product specialist,senior product specialist,"(individual contributer, nan, 53)",individual contributer,,53
