,title,title_count,title_split,temp,type,title_level,new_title,leftover,fuzz_results,fuzz_score,fuzz_title,fuzz_type
164,vp data governance,1,vice president data governance,"(master data governance, [great], [None])",great,vice president,master data governance,,,,,
165,vp data delivery & architecture,1,vice president data delivery architecture,"(data delivery architecture, [level], [data delivery architecture])",level,vice president,,data delivery architecture,"(data architecture, 79, great)",79.0,data architecture,great
166,vp data analytics,1,vice president data analytics,"(data analytics, [level], [data analytics])",level,vice president,,data analytics,"(data analysis, 89, common)",89.0,data analysis,common
167,vp corporate medical informatics,1,vice president corporate medical informatics,"(corporate medical informatics, [level], [corporate medical informatics])",level,vice president,,corporate medical informatics,"(chief medical informatics officer, 71, great)",71.0,chief medical informatics officer,great
168,vp consumer technologoy,1,vice president consumer technologoy,"(consumer technologoy, [level], [consumer technologoy])",level,vice president,,consumer technologoy,"(chief technology officer, 68, common)",68.0,chief technology officer,common
169,vp bi,1,vice president business intelligence,"(business intelligence process, [great], [None])",great,vice president,business intelligence process,,,,,
170,vp / cio,1,vice president chief information officer,"(chief information officer, [great], [None])",great,vice president,chief information officer,,,,,
171,vp & chief enterprise architect,1,vice president chief enterprise architect,"(chief enterprise architect, [level], [chief enterprise architect])",level,vice president,,chief enterprise architect,"(enterprise architect, 87, great)",87.0,enterprise architect,great
172,vp - principal technology architect,1,vice president principal technology architect,"(technology architect, [level], [technology architect])",level,vice president principal,,technology architect,"(chief technology officer, 73, common)",73.0,chief technology officer,common
173,vp - it - dw arch,1,vice president it data warehouse arch,"(it data warehouse arch, [level], [it data warehouse arch])",level,vice president,,it data warehouse arch,"(data warehouse, 78, great)",78.0,data warehouse,great
174,vp - fp&a,1,vice president fp,"(fp, [level], [fp])",level,vice president,,fp,"(ifrs9, 29, great)",29.0,ifrs9,great
175,vp - enterprise data quality,1,vice president enterprise data quality,"(enterprise data quality, [level], [enterprise data quality])",level,vice president,,enterprise data quality,"(data quality manager, 74, great)",74.0,data quality manager,great
176,vp,1,vice president,"(, [level], [])",level,vice president,,,,,,
177,"vice president, model validation, process management and model governance system",1,vice president model validation process management and model governance system,"(model validation process management model governance system, [level], [model validation process management model governance system])",level,vice president,,model validation process management model governance system,"(information governance, 49, great)",49.0,information governance,great
178,"vice president, information management risk lead",1,vice president information management risk lead,"(information management risk, [level], [information management risk])",great,vice president lead,information management,,,90.0,information management,great
179,"vice president, human resources",1,vice president human resources,"(human resources, [level], [human resources])",level,vice president,,human resources,"(data services, 50, great)",50.0,data services,great
180,"vice president, enterprise information management",1,vice president enterprise information management,"(enterprise information management, [level], [enterprise information management])",level,vice president,enterprise information management,,,,,
181,"vice president, enterprise data governance",1,vice president enterprise data governance,"(enterprise data governance, [level], [enterprise data governance])",level,vice president,,enterprise data governance,"(data governance, 73, great)",73.0,data governance,great
182,"vice president, data resource management",1,vice president data resource management,"(data resource management, [level], [data resource management])",level,vice president,,data resource management,"(data management, 77, great)",77.0,data management,great
183,"vice president, data modeling management",1,vice president data modeling management,"(data modeling management, [level], [data modeling management])",level,vice president,,data modeling management,"(data management, 77, great)",77.0,data management,great
184,"vice president, data governance",1,vice president data governance,"(master data governance, [great], [None])",great,vice president,master data governance,,,,,
185,"vice president, compliance",1,vice president compliance,"(compliance, [level], [compliance])",level,vice president,,compliance,"(chief compliance officer, 59, common)",59.0,chief compliance officer,common
186,vice president enterprise application & information services,1,vice president enterprise application information services,"(enterprise application information services, [level], [enterprise application information services])",level,vice president,,enterprise application information services,"(enterprise information management, 66, common)",66.0,enterprise information management,common
187,vice president big data analytics and strategy,1,vice president big data analytics and strategy,"(big data analytics strategy, [level], [big data analytics strategy])",level,vice president,,big data analytics strategy,"(data analysis, 60, common)",60.0,data analysis,common
188,"vice president and global head, data governance",1,vice president and global head data governance,"(master data governance, [great], [None])",great,vice president global head,master data governance,,,,,
189,vice president - data projects at barclays,1,vice president data project at barclays,"(data at barclays, [level], [data at barclays])",level,vice president project,,data at barclays,"(data analyst, 71, great)",71.0,data analyst,great
190,test automation engineer,1,test automation engineer,"(test automation engineer, [to_fix], [test automation engineer])",to_fix,,,test automation engineer,"(systems engineer, 60, common)",60.0,systems engineer,common
191,"technology, informatica integration",1,technology informatica integration,"(technology informatica integration, [to_fix], [technology informatica integration])",to_fix,,,technology informatica integration,"(information technology, 79, common)",79.0,information technology,common
192,technology relationship manager,1,technology relationship manager,"(technology relationship, [level], [technology relationship])",level,manager,,technology relationship,"(information technology, 76, common)",76.0,information technology,common
193,"technology manager, bi - j&j shared services",1,technology manager business intelligence shared services,"(technology business intelligence shared services, [level], [technology business intelligence shared services])",level,manager,,technology business intelligence shared services,"(business intelligence process, 70, great)",70.0,business intelligence process,great
194,technology consultant,1,technology consultant,"(technology, [level], [technology])",level,consultant,,technology,"(information technology, 63, common)",63.0,information technology,common
195,technology associate,1,technology associate,"(technology, [level], [technology])",level,associate,,technology,"(information technology, 63, common)",63.0,information technology,common
196,technical manager,1,technical manager,"(technical, [level], [technical])",level,manager,,technical,"(clinical quality, 48, great)",48.0,clinical quality,great
197,technical director systems architect,1,technical director systems architect,"(technical systems architect, [level], [technical systems architect])",level,director,,technical systems architect,"(enterprise architect, 60, great)",60.0,enterprise architect,great
198,team lead bicc,1,team lead business intelligence competency center,"(team business intelligence competency center, [level], [team business intelligence competency center])",great,lead,business intelligence competency center,,,94.0,business intelligence competency center,great
199,t senior manager - vendor management - ocio,1,senior manager vendor management ocio,"(vendor management ocio, [level], [vendor management ocio])",level,senior manager,,vendor management ocio,"(market data vendor management, 71, great)",71.0,market data vendor management,great
200,"svp, risk integration data quality manager",1,senior vice president risk integration data quality manager,"(risk integration data quality, [level], [risk integration data quality])",level,senior vice president manager,,risk integration data quality,"(data quality manager, 65, great)",65.0,data quality manager,great
201,"svp, cio enterprise application developm",1,senior vice president chief information officer enterprise application developm,"(chief information officer enterprise application developm, [level], [chief information officer enterprise application developm])",level,senior vice president,,chief information officer enterprise application developm,"(chief information officer, 61, great)",61.0,chief information officer,great
202,"svp, cio & enterprise transformation leader",1,senior vice president chief information officer enterprise transformation leader,"(chief information officer enterprise transformation, [level], [chief information officer enterprise transformation])",level,senior vice president leader,,chief information officer enterprise transformation,"(chief information officer, 66, great)",66.0,chief information officer,great
